species,oldSpeciesCanonicalName,similarity,prediction,label,model,threshold
Melanerpes erythrocephalus,Picus erythrocephalus,0.6538,not synonym,synonym,Levenshtein,0.7
Sphyrapicus varius,Picus varius,0.6667,not synonym,synonym,Levenshtein,0.7
Dryobates pubescens,Dryobates affinis,0.5789,not synonym,not synonym,Levenshtein,0.7
Veniliornis mixtus,Picoides lignarius,0.2222,not synonym,not synonym,Levenshtein,0.7
Picumnus limae,Picumnus fulvescens,0.5789,not synonym,synonym,Levenshtein,0.7
Celeus galeatus,Hylatomus galeatus,0.6667,not synonym,synonym,Levenshtein,0.7
Veniliornis cassini,Dryobates cassini,0.4737,not synonym,synonym,Levenshtein,0.7
Dryocopus lineatus,Hylatomus lineatus,0.6667,not synonym,synonym,Levenshtein,0.7
Melanerpes striatus,Trachyphonus europeus,0.2857,not synonym,not synonym,Levenshtein,0.7
Galbula dea,Dryobates albolarvatus,0.2273,not synonym,not synonym,Levenshtein,0.7
Aulacorhynchus caeruleogularis,Aulacorhamphus caeruleogularis,0.9,synonym,synonym,Levenshtein,0.7
Veniliornis dignus,Picus callonotus,0.1667,not synonym,not synonym,Levenshtein,0.7
Melanerpes formicivorus,Picus formicivorus,0.6087,not synonym,synonym,Levenshtein,0.7
Dryobates pubescens,Dendrocopos pubescens,0.619,not synonym,synonym,Levenshtein,0.7
Colaptes auratus,Megalaima asiatica,0.2778,not synonym,not synonym,Levenshtein,0.7
Pardipicus caroli,Campethera caroli,0.4706,not synonym,synonym,Levenshtein,0.7
Leuconotopicus arizonae,Dendrocopos arizonae,0.6087,not synonym,synonym,Levenshtein,0.7
Monasa nigrifrons,Bucco nigrifrons,0.6471,not synonym,synonym,Levenshtein,0.7
Reinwardtipicus validus,Picus martius,0.3913,not synonym,not synonym,Levenshtein,0.7
Notharchus macrorhynchos,Pogonornis dubius,0.1667,not synonym,not synonym,Levenshtein,0.7
Galbula dea,Picus chrysochloros,0.0,not synonym,not synonym,Levenshtein,0.7
Psilopogon faber,Megalaima faber,0.375,not synonym,synonym,Levenshtein,0.7
Dryocopus schulzii,Megalaima rubricapillus,0.1304,not synonym,not synonym,Levenshtein,0.7
