species,oldSpeciesCanonicalName,similarity,prediction,label,model,threshold
Pseudoroegneria stipifolia,Elytrigia kotovii,0.3077,not synonym,synonym,Levenshtein,0.7
Sasa chartacea,Aechmea oligosepala,0.1579,not synonym,not synonym,Levenshtein,0.7
Ptilagrostis duthiei,Achnatherum duthiei,0.45,not synonym,synonym,Levenshtein,0.7
Chordifex gracilior,Ronnbergia carvalhoi,0.2,not synonym,not synonym,Levenshtein,0.7
Desmocladus flexuosus,Dupatya brachypus,0.2381,not synonym,not synonym,Levenshtein,0.7
Syngonanthus cuyabensis,Schoenus rufus,0.3478,not synonym,not synonym,Levenshtein,0.7
Pleurostachys muelleri,Pleurostachys calyptrocaryoides,0.5161,not synonym,synonym,Levenshtein,0.7
Ficinia sylvatica,Ficinia leiocarpa,0.5294,not synonym,synonym,Levenshtein,0.7
Fascicularia bicolor,Rottboellia pilosa,0.3,not synonym,not synonym,Levenshtein,0.7
Bulbostylis trabeculata,Restio erectus,0.3043,not synonym,not synonym,Levenshtein,0.7
Leymus secalinus,Hypolepis scariosa,0.3333,not synonym,not synonym,Levenshtein,0.7
Eduandrea selloana,Andrea selloana,0.8333,synonym,synonym,Levenshtein,0.7
Leymus secalinus,Triticum dasystachyum,0.2381,not synonym,synonym,Levenshtein,0.7
Bulbostylis contexta,Scirpus burkei,0.15,not synonym,synonym,Levenshtein,0.7
Lagenocarpus bracteosus,Macrochaetium hexandrum,0.2174,not synonym,not synonym,Levenshtein,0.7
Eriachne mucronata,Iria hawaiiensis,0.2778,not synonym,not synonym,Levenshtein,0.7
Eriophorum gracile,Phaeocephalum caducum,0.2857,not synonym,not synonym,Levenshtein,0.7
Acanthostachys strobilacea,Rapatea wettsteinii,0.2308,not synonym,not synonym,Levenshtein,0.7
Schoenus nigricans,Cyperus niger,0.4444,not synonym,synonym,Levenshtein,0.7
Krenakia minarum,Acrocarpus campestris,0.2381,not synonym,synonym,Levenshtein,0.7
Restio multiflorus,Restio paniculatus,0.5556,not synonym,synonym,Levenshtein,0.7
Machaerina rubiginosa,Fuirena rubiginosa,0.6667,not synonym,synonym,Levenshtein,0.7
Carex vallis-rosetto,Vincentia anceps,0.1,not synonym,not synonym,Levenshtein,0.7
Quesnelia arvensis,Restio stenocoleus,0.1667,not synonym,not synonym,Levenshtein,0.7
Neololeba amahussana,Sorghum orientale,0.15,not synonym,not synonym,Levenshtein,0.7
Ficinia indica,Baumea milnei,0.2143,not synonym,not synonym,Levenshtein,0.7
Schoenus dregeanus,Encholirium piresianum,0.4545,not synonym,not synonym,Levenshtein,0.7
Alcantarea regina,Poa subfastigiata,0.2353,not synonym,not synonym,Levenshtein,0.7
Restio perplexus,Mezobromelia fulgens,0.2,not synonym,not synonym,Levenshtein,0.7
Cleistogenes serotina,Chamaeraphis muricata,0.2381,not synonym,not synonym,Levenshtein,0.7
Brocchinia hechtioides,Brocchinia cryptantha,0.5455,not synonym,synonym,Levenshtein,0.7
Sesleria robusta,Scirpus triqueter,0.2353,not synonym,not synonym,Levenshtein,0.7
Catapodium mamoraeum,Nardurus mamoraeus,0.55,not synonym,synonym,Levenshtein,0.7
Xyroschoenus hornei,Costularia hornei,0.4737,not synonym,synonym,Levenshtein,0.7
Phacelurus speciosus,Andropogon speciosus,0.5,not synonym,synonym,Levenshtein,0.7
Festuca humilior,Hypogynium arrectum,0.0526,not synonym,not synonym,Levenshtein,0.7
Bolboschoenus glaucus,Scirpus glaucus,0.5714,not synonym,synonym,Levenshtein,0.7
Bulbostylis juncoides,Festuca multiflora,0.1429,not synonym,not synonym,Levenshtein,0.7
Sasa senanensis,Sasa pilosa,0.4,not synonym,synonym,Levenshtein,0.7
Indocalamus decorus,Syngonanthus heterophyllus,0.3846,not synonym,not synonym,Levenshtein,0.7
Ficinia laevis,Xyris dilungensis,0.2941,not synonym,not synonym,Levenshtein,0.7
Elymandra lithophila,Sorghum lithophilum,0.45,not synonym,synonym,Levenshtein,0.7
Neoregelia princeps,Nidularium princeps,0.5263,not synonym,synonym,Levenshtein,0.7
Schoenoplectus triquetrer,Billbergia roseomarginata,0.04,not synonym,not synonym,Levenshtein,0.7
Hypolytrum chevalieri,Mapania chevalieri,0.5714,not synonym,synonym,Levenshtein,0.7
Festuca purpurascens,Bromus loliaceus,0.3,not synonym,not synonym,Levenshtein,0.7
Carex phacota,Carex fauriae,0.5385,not synonym,synonym,Levenshtein,0.7
Machaerina laxa,Machaerina gracilis,0.6316,not synonym,synonym,Levenshtein,0.7
Fimbristylis juncea,Scirpus acuminatus,0.0526,not synonym,not synonym,Levenshtein,0.7
Pseudoroegneria spicata,Agropyron divergens,0.1739,not synonym,synonym,Levenshtein,0.7
Comanthera xeranthemoides,Paepalanthus xeranthemoides,0.6667,not synonym,synonym,Levenshtein,0.7
Pseudaraeococcus chlorocarpus,Araeococcus chlorocarpus,0.8276,synonym,synonym,Levenshtein,0.7
Hesperostipa curtiseta,Eriachne triseta,0.4091,not synonym,not synonym,Levenshtein,0.7
Amphiscirpus nevadensis,Brachypodium longisetum,0.087,not synonym,not synonym,Levenshtein,0.7
Dimeria ornithopoda,Dimeria tenera,0.5263,not synonym,synonym,Levenshtein,0.7
Werauhia vulcanicola,Vriesea vulcanicola,0.7,synonym,synonym,Levenshtein,0.7
Cinnagrostis velutina,Deyeuxia velutina,0.4762,not synonym,synonym,Levenshtein,0.7
Juncus inundatus,Juncus scalovenicus,0.4737,not synonym,synonym,Levenshtein,0.7
Werauhia uxoris,Vriesea uxoris,0.6,not synonym,synonym,Levenshtein,0.7
Himalayacalamus collaris,Andropogon stagninus,0.125,not synonym,not synonym,Levenshtein,0.7
Sincoraea hatschbachii,Danthonia rigida,0.1818,not synonym,not synonym,Levenshtein,0.7
Ficinia nodosa,Sclerochloa hemipoa,0.2105,not synonym,not synonym,Levenshtein,0.7
Neoregelia spectabilis,Aregelia spectabilis,0.8636,synonym,synonym,Levenshtein,0.7
Hohenbergia eriantha,Cladium teretifolium,0.05,not synonym,not synonym,Levenshtein,0.7
Guzmania osyana,Caraguata osyana,0.5,not synonym,synonym,Levenshtein,0.7
Paramapania parvibractea,Bulbostylis spadicea,0.2917,not synonym,not synonym,Levenshtein,0.7
Leptochloa mucronata,Tillandsia lutheriana,0.2381,not synonym,not synonym,Levenshtein,0.7
Scleria naumanniana,Scleria ovuligera,0.5263,not synonym,synonym,Levenshtein,0.7
Guzlandsia barbiei,Gravisia capitata,0.3333,not synonym,not synonym,Levenshtein,0.7
Tetraria bromoides,Ischyrolepis schoenoides,0.375,not synonym,not synonym,Levenshtein,0.7
Scleria vaginata,Tonduzia macrophylla,0.25,not synonym,synonym,Levenshtein,0.7
Dyckia tuberosa,Dyckia coccinea,0.5333,not synonym,synonym,Levenshtein,0.7
Billbergia amoena,Nothoholcus lanatus,0.1053,not synonym,not synonym,Levenshtein,0.7
Chloris filiformis,Cynosurus filiformis,0.75,synonym,synonym,Levenshtein,0.7
Oplismenus compositus,Oplismenus patens,0.619,not synonym,synonym,Levenshtein,0.7
Gahnia lanigera,Cladium medium,0.1333,not synonym,synonym,Levenshtein,0.7
Polytoca javanica,Quesnelia hoehnei,0.1176,not synonym,not synonym,Levenshtein,0.7
Leiothrix curvifolia,Dupatya curvifolia,0.6,not synonym,synonym,Levenshtein,0.7
Bromelia scarlatina,Scleria amphigaea,0.2632,not synonym,not synonym,Levenshtein,0.7
Chrysopogon pallidus,Holcus pallidus,0.55,not synonym,synonym,Levenshtein,0.7
Lindmania guianensis,Cottendorfia guianensis,0.6522,not synonym,synonym,Levenshtein,0.7
Luzula brachyphylla,Luzula patagonica,0.4737,not synonym,synonym,Levenshtein,0.7
Staberoha distachyos,Restio distachyos,0.6,not synonym,synonym,Levenshtein,0.7
Wittmackia lingulata,Bromelia lingulata,0.65,not synonym,synonym,Levenshtein,0.7
Bulbostylis laniceps,Andropogon reedii,0.1,not synonym,not synonym,Levenshtein,0.7
Sporadanthus caudatus,Danthonia antarctica,0.1905,not synonym,not synonym,Levenshtein,0.7
Guzmania plumieri,Brocchinia plumieri,0.6316,not synonym,synonym,Levenshtein,0.7
Neololeba atra,Chondropetalum hookerianum,0.2692,not synonym,not synonym,Levenshtein,0.7
Sasa magnifica,Sasaella magnifica,0.7778,synonym,synonym,Levenshtein,0.7
Luzula antarctica,Cymbopogon chrysargyreus,0.125,not synonym,not synonym,Levenshtein,0.7
Ficinia tristachya,Scirpus conostachys,0.4211,not synonym,not synonym,Levenshtein,0.7
Neololeba atra,Arundarbor atra,0.4,not synonym,synonym,Levenshtein,0.7
Aphelia pumilio,Brizula pumilio,0.6,not synonym,synonym,Levenshtein,0.7
Chloris virgata,Chloris tetrastachys,0.55,not synonym,synonym,Levenshtein,0.7
Fimbristylis polytrichoides,Sasa hattoriana,0.1481,not synonym,not synonym,Levenshtein,0.7
Catabrosa aquatica,Regelia chlorosticta,0.2,not synonym,not synonym,Levenshtein,0.7
Rhynchospora elliottii,Tillandsia unilateralis,0.1304,not synonym,not synonym,Levenshtein,0.7
Hypodiscus rugosus,Anarthria calovaginata,0.1364,not synonym,not synonym,Levenshtein,0.7
Ichnanthus ephemeroblepharis,Pironneava roseocaerulea,0.25,not synonym,not synonym,Levenshtein,0.7
Krenakia humilis,Cryptangium humile,0.4444,not synonym,synonym,Levenshtein,0.7
Catopsis nitida,Anadelphia triseta,0.3333,not synonym,not synonym,Levenshtein,0.7
Leymus shanxiensis,Leymus dilatatus,0.4444,not synonym,synonym,Levenshtein,0.7
