species,oldSpeciesCanonicalName,similarity,prediction,label,model,threshold
Poikilospermum scabrinervium,Pyrus stankovii,0.3214,not synonym,not synonym,Levenshtein,0.7
Sageretia filiformis,Rhamnus terminalis,0.15,not synonym,synonym,Levenshtein,0.7
Colubrina elliptica,Paliurus inermis,0.2105,not synonym,synonym,Levenshtein,0.7
Gonostegia triandra,Memorialis mysorensis,0.1905,not synonym,synonym,Levenshtein,0.7
Pourthiaea villosa,Pourthiaea oldhamii,0.5789,not synonym,synonym,Levenshtein,0.7
Rubus niveus,Rubus horsfieldii,0.4118,not synonym,synonym,Levenshtein,0.7
Dendrocnide torricellensis,Laportea torricellensis,0.6154,not synonym,synonym,Levenshtein,0.7
Ficus holosericea,Pyrus lonetalensis,0.2778,not synonym,not synonym,Levenshtein,0.7
Sorbaronia arsenii,Ficus papyrifera,0.1111,not synonym,not synonym,Levenshtein,0.7
Forsskaolea viridis,Forsskaolea eenii,0.7368,synonym,synonym,Levenshtein,0.7
Scepocarpus mannii,Discaria spiculata,0.1111,not synonym,not synonym,Levenshtein,0.7
Berchemia floribunda,Ficus todayensis,0.15,not synonym,not synonym,Levenshtein,0.7
Urtica magellanica,Urtica bracteata,0.5,not synonym,synonym,Levenshtein,0.7
Frangula macrocarpa,Celtis hottlei,0.1053,not synonym,not synonym,Levenshtein,0.7
Retanilla ephedra,Pyrus parkmannii,0.0588,not synonym,not synonym,Levenshtein,0.7
Ochetophila trinervis,Elatostema oshimense,0.2381,not synonym,not synonym,Levenshtein,0.7
Ulmus mexicana,Photinia pustulata,0.1667,not synonym,not synonym,Levenshtein,0.7
Maclura tinctoria,Ficus caudatifolia,0.2778,not synonym,not synonym,Levenshtein,0.7
Boehmeria cylindrica,Duretia palustris,0.35,not synonym,synonym,Levenshtein,0.7
Scutia arenicola,Phylica stipularis,0.2222,not synonym,not synonym,Levenshtein,0.7
Maclura cochinchinensis,Vanieria pubescens,0.3043,not synonym,synonym,Levenshtein,0.7
Ziziphus abyssinica,Ziziphus abyssinica,1.0,synonym,synonym,Levenshtein,0.7
Pilea rivularis,Pilea stipulata,0.6,not synonym,synonym,Levenshtein,0.7
Prunus sargentii,Cerasus sachalinensis,0.4286,not synonym,synonym,Levenshtein,0.7
Pouzolzia zeylanica,Cydonia cydonia,0.4211,not synonym,not synonym,Levenshtein,0.7
Scepocarpus sansibaricus,Pourthiaea tomentosa,0.1667,not synonym,not synonym,Levenshtein,0.7
Celtis iguanaea,Stranvaesia benthamiana,0.2174,not synonym,not synonym,Levenshtein,0.7
Pouzolzia denudata,Pouzolzia andongensis,0.5714,not synonym,synonym,Levenshtein,0.7
Pilea corymbosa,Cerasus pseudocerasus,0.0952,not synonym,not synonym,Levenshtein,0.7
Paratrophis anthropophagorum,Photinia glabra,0.2143,not synonym,not synonym,Levenshtein,0.7
Acaena magellanica,Acaena laevigata,0.5556,not synonym,synonym,Levenshtein,0.7
Aronia melanocarpa,Sorbus melanocarpa,0.6667,not synonym,synonym,Levenshtein,0.7
Margyricarpus alatus,Tetraglochin buxifolium,0.1739,not synonym,synonym,Levenshtein,0.7
Reissekia smilacina,Bosquiea phoberos,0.1579,not synonym,not synonym,Levenshtein,0.7
Boehmeria polystachya,Boehmeria tibetica,0.619,not synonym,synonym,Levenshtein,0.7
Crataegus punctata,Crataegus pratensis,0.5789,not synonym,synonym,Levenshtein,0.7
Rhaphiolepis elliptica,Photinia elliptica,0.6364,not synonym,synonym,Levenshtein,0.7
Dendrocnide densiflora,Procris paniculata,0.3636,not synonym,not synonym,Levenshtein,0.7
Fragaria nilgerrensis,Potentilla nilgerrensis,0.6522,not synonym,synonym,Levenshtein,0.7
Spiraea martini,Spiraea fulvescens,0.5,not synonym,synonym,Levenshtein,0.7
Phylica curvifolia,Rhamnus angulata,0.1667,not synonym,not synonym,Levenshtein,0.7
Celtis gomphophylla,Laportea subpeltata,0.1053,not synonym,not synonym,Levenshtein,0.7
Leucosyke puya,Maoutia puya,0.4286,not synonym,synonym,Levenshtein,0.7
Prunus emarginata,Potentilla davidii,0.1111,not synonym,not synonym,Levenshtein,0.7
Dendrocnide cordata,Ulmus superba,0.1579,not synonym,not synonym,Levenshtein,0.7
Berchemiella berchemiifolia,Berchemiella koreana,0.5926,not synonym,synonym,Levenshtein,0.7
Spiraea bella,Spiraea nepalensis,0.5556,not synonym,synonym,Levenshtein,0.7
Boehmeria celtidifolia,Boehmeria arbuscula,0.5455,not synonym,synonym,Levenshtein,0.7
Laportea cuspidata,Laportea macrostachya,0.5714,not synonym,synonym,Levenshtein,0.7
Laportea aestuans,Urera gaudichaudeana,0.2,not synonym,synonym,Levenshtein,0.7
Fragaria ananassa,Gouania remyi,0.2353,not synonym,not synonym,Levenshtein,0.7
Potentilla semidentata,Potentilla semidentata,1.0,synonym,synonym,Levenshtein,0.7
Leucosyke ochroneura,Urtica ochroneura,0.6,not synonym,synonym,Levenshtein,0.7
Ficus fulva,Ficus chlorocarpa,0.4706,not synonym,synonym,Levenshtein,0.7
Achudemia subpubera,Pilea subpubera,0.6316,not synonym,synonym,Levenshtein,0.7
Celtis bungeana,Celtis yangquanensis,0.55,not synonym,synonym,Levenshtein,0.7
Poikilospermum suaveolens,Maoutia aspera,0.2,not synonym,not synonym,Levenshtein,0.7
Physocarpus opulifolius,Spiraea pauciflora,0.3043,not synonym,synonym,Levenshtein,0.7
Obetia carruthersiana,Dorstenia penduliflora,0.2273,not synonym,not synonym,Levenshtein,0.7
Prunus avium,Sorbus heterophylla,0.1579,not synonym,not synonym,Levenshtein,0.7
Rhaphiolepis bengalensis,Eriobotrya bengalensis,0.5417,not synonym,synonym,Levenshtein,0.7
Adolphia infesta,Colletia infesta,0.6875,not synonym,synonym,Levenshtein,0.7
Sageretia filiformis,Cecropia digitata,0.3,not synonym,not synonym,Levenshtein,0.7
Elatostema goudotianum,Elatostema afrikanum,0.6818,not synonym,synonym,Levenshtein,0.7
Dendrocnide sinuata,Urera gigantea,0.2105,not synonym,synonym,Levenshtein,0.7
Aria evansii,Pyrus evansii,0.6923,not synonym,synonym,Levenshtein,0.7
Colubrina elliptica,Pyrus hookeriana,0.2105,not synonym,not synonym,Levenshtein,0.7
Phylica rigida,Ziziphus sativa,0.2,not synonym,not synonym,Levenshtein,0.7
Spyridium vexilliferum,Spyridium diffusum,0.6364,not synonym,synonym,Levenshtein,0.7
Aronia prunifolia,Aronia floribunda,0.5294,not synonym,synonym,Levenshtein,0.7
Argentina sericophylla,Tylosperma sericophylla,0.6087,not synonym,synonym,Levenshtein,0.7
Trema angustifolium,Sponia acuminatissima,0.2381,not synonym,synonym,Levenshtein,0.7
Paratrophis insignis,Oblixilis divaricatus,0.1905,not synonym,not synonym,Levenshtein,0.7
Gonostegia triandra,Morus alpina,0.3158,not synonym,not synonym,Levenshtein,0.7
Pourthiaea benthamiana,Crataegus canescens,0.1818,not synonym,not synonym,Levenshtein,0.7
Frangula rupestris,Rhamnus rupestris,0.6667,not synonym,synonym,Levenshtein,0.7
Trema orientale,Trema bracteolatum,0.5,not synonym,synonym,Levenshtein,0.7
Pseudolmedia spuria,Cerasus incana,0.1579,not synonym,not synonym,Levenshtein,0.7
Petrophytum acuminatum,Petrophyton acuminatum,0.9091,synonym,synonym,Levenshtein,0.7
Morus celtidifolia,Armeniaca malus,0.1111,not synonym,not synonym,Levenshtein,0.7
Crataegus pruinosa,Crataegus brownii,0.6667,not synonym,not synonym,Levenshtein,0.7
Physocarpus monogynus,Parietaria judaica,0.1905,not synonym,not synonym,Levenshtein,0.7
Pouzolzia zeylanica,Ariosorbus hybrida,0.2105,not synonym,not synonym,Levenshtein,0.7
Sarcomphalus parvifolius,Ziziphus urbanii,0.2917,not synonym,synonym,Levenshtein,0.7
Crataegus pruinosa,Elaeagnus dactyliformis,0.3043,not synonym,not synonym,Levenshtein,0.7
Pouzolzia sanguinea,Rubus microphyllus,0.0526,not synonym,not synonym,Levenshtein,0.7
Dendrocnide stimulans,Laportea sinuata,0.2857,not synonym,synonym,Levenshtein,0.7
Crataegus macracantha,Crataegus sanguinea,0.619,not synonym,synonym,Levenshtein,0.7
Aria eminentoides,Pyrus eminentoides,0.7778,synonym,synonym,Levenshtein,0.7
Ulmus glabra,Ulmus communis,0.4286,not synonym,synonym,Levenshtein,0.7
Urtica mexicana,Urtica praetermissa,0.4737,not synonym,synonym,Levenshtein,0.7
Rhamnus japonica,Dorstenia debeerstii,0.15,not synonym,not synonym,Levenshtein,0.7
