species,oldSpeciesCanonicalName,similarity,prediction,model,threshold,label
Melanerpes erythrocephalus,Picus erythrocephalus,0.9048,synonym,BAAI/llm-embedder,0.7,1
Sphyrapicus varius,Picus varius,0.8982,synonym,BAAI/llm-embedder,0.7,1
Dryobates pubescens,Dryobates affinis,0.868,synonym,BAAI/llm-embedder,0.7,0
Veniliornis mixtus,Picoides lignarius,0.7661,synonym,BAAI/llm-embedder,0.7,0
Picumnus limae,Picumnus fulvescens,0.8338,synonym,BAAI/llm-embedder,0.7,1
Celeus galeatus,Hylatomus galeatus,0.8966,synonym,BAAI/llm-embedder,0.7,1
Veniliornis cassini,Dryobates cassini,0.8564,synonym,BAAI/llm-embedder,0.7,1
Dryocopus lineatus,Hylatomus lineatus,0.9025,synonym,BAAI/llm-embedder,0.7,1
Melanerpes striatus,Trachyphonus europeus,0.7462,synonym,BAAI/llm-embedder,0.7,0
Galbula dea,Dryobates albolarvatus,0.7376,synonym,BAAI/llm-embedder,0.7,0
Aulacorhynchus caeruleogularis,Aulacorhamphus caeruleogularis,0.9635,synonym,BAAI/llm-embedder,0.7,1
Veniliornis dignus,Picus callonotus,0.7755,synonym,BAAI/llm-embedder,0.7,0
Melanerpes formicivorus,Picus formicivorus,0.9371,synonym,BAAI/llm-embedder,0.7,1
Dryobates pubescens,Dendrocopos pubescens,0.8844,synonym,BAAI/llm-embedder,0.7,1
Colaptes auratus,Megalaima asiatica,0.7689,synonym,BAAI/llm-embedder,0.7,0
Pardipicus caroli,Campethera caroli,0.8462,synonym,BAAI/llm-embedder,0.7,1
Leuconotopicus arizonae,Dendrocopos arizonae,0.8589,synonym,BAAI/llm-embedder,0.7,1
Monasa nigrifrons,Bucco nigrifrons,0.868,synonym,BAAI/llm-embedder,0.7,1
Reinwardtipicus validus,Picus martius,0.7891,synonym,BAAI/llm-embedder,0.7,0
Notharchus macrorhynchos,Pogonornis dubius,0.7505,synonym,BAAI/llm-embedder,0.7,0
Galbula dea,Picus chrysochloros,0.7117,synonym,BAAI/llm-embedder,0.7,0
Psilopogon faber,Megalaima faber,0.8609,synonym,BAAI/llm-embedder,0.7,1
Dryocopus schulzii,Megalaima rubricapillus,0.7276,synonym,BAAI/llm-embedder,0.7,0
Dryobates minor,Cuculus tenebrosus,0.7757,synonym,BAAI/llm-embedder,0.7,0
Melanerpes carolinus,Picus carolinus,0.9007,synonym,BAAI/llm-embedder,0.7,1
Picus sharpei,Bucco collaris,0.7536,synonym,BAAI/llm-embedder,0.7,0
Dendrocoptes auriceps,Dendropicos pyrrhogaster,0.7878,synonym,BAAI/llm-embedder,0.7,0
Dryobates pubescens,Picoides pubescens,0.886,synonym,BAAI/llm-embedder,0.7,1
Picumnus dorbignyanus,Megalaima faiostricta,0.7355,synonym,BAAI/llm-embedder,0.7,0
Melanerpes lewis,Picus spilogaster,0.7277,synonym,BAAI/llm-embedder,0.7,0
Melanerpes lewis,Asyndesmus lewisi,0.8469,synonym,BAAI/llm-embedder,0.7,1
Sphyrapicus varius,Picoides mixtus,0.7754,synonym,BAAI/llm-embedder,0.7,0
Chelidoptera tenebrosa,Picus campestris,0.7493,synonym,BAAI/llm-embedder,0.7,0
Colaptes auricularis,Pincus canus,0.7409,synonym,BAAI/llm-embedder,0.7,0
Veniliornis dignus,Chloronerpes dignus,0.9086,synonym,BAAI/llm-embedder,0.7,1
Psilopogon viridis,Dendrocopos kizuki,0.7483,synonym,BAAI/llm-embedder,0.7,0
Selenidera nattereri,Pteroglossus spec,0.746,synonym,BAAI/llm-embedder,0.7,1
Aulacorhynchus sulcatus,Pteroglossus sulcatus,0.8711,synonym,BAAI/llm-embedder,0.7,1
Dendrocopos major,Dryocopus major,0.8488,synonym,BAAI/llm-embedder,0.7,1
Psilopogon lineatus,Sapheopipo noguchii,0.7608,synonym,BAAI/llm-embedder,0.7,0
Celeus torquatus,Picus torquatus,0.8991,synonym,BAAI/llm-embedder,0.7,1
Dendrocoptes auriceps,Leiopicus auriceps,0.8917,synonym,BAAI/llm-embedder,0.7,1
Leuconotopicus fumigatus,Venilornis fumigatus,0.8713,synonym,BAAI/llm-embedder,0.7,1
Dendrocopos major,Picoides major,0.8337,synonym,BAAI/llm-embedder,0.7,1
Dendrocopos major,Picus major,0.836,synonym,BAAI/llm-embedder,0.7,1
Jacamerops aureus,Alcedo aurea,0.777,synonym,BAAI/llm-embedder,0.7,1
