species,oldSpeciesCanonicalName,similarity,prediction,model,threshold,label
Melanerpes erythrocephalus,Picus erythrocephalus,0.9326,synonym,allenai/scibert_scivocab_cased,0.7,1
Sphyrapicus varius,Picus varius,0.8019,synonym,allenai/scibert_scivocab_cased,0.7,1
Dryobates pubescens,Dryobates affinis,0.906,synonym,allenai/scibert_scivocab_cased,0.7,0
Veniliornis mixtus,Picoides lignarius,0.7861,synonym,allenai/scibert_scivocab_cased,0.7,0
Picumnus limae,Picumnus fulvescens,0.86,synonym,allenai/scibert_scivocab_cased,0.7,1
Celeus galeatus,Hylatomus galeatus,0.9467,synonym,allenai/scibert_scivocab_cased,0.7,1
Veniliornis cassini,Dryobates cassini,0.8854,synonym,allenai/scibert_scivocab_cased,0.7,1
Dryocopus lineatus,Hylatomus lineatus,0.9105,synonym,allenai/scibert_scivocab_cased,0.7,1
Melanerpes striatus,Trachyphonus europeus,0.7679,synonym,allenai/scibert_scivocab_cased,0.7,0
Galbula dea,Dryobates albolarvatus,0.5004,not synonym,allenai/scibert_scivocab_cased,0.7,0
Aulacorhynchus caeruleogularis,Aulacorhamphus caeruleogularis,0.966,synonym,allenai/scibert_scivocab_cased,0.7,1
Veniliornis dignus,Picus callonotus,0.8203,synonym,allenai/scibert_scivocab_cased,0.7,0
Melanerpes formicivorus,Picus formicivorus,0.9026,synonym,allenai/scibert_scivocab_cased,0.7,1
Dryobates pubescens,Dendrocopos pubescens,0.9225,synonym,allenai/scibert_scivocab_cased,0.7,1
Colaptes auratus,Megalaima asiatica,0.7883,synonym,allenai/scibert_scivocab_cased,0.7,0
Pardipicus caroli,Campethera caroli,0.8431,synonym,allenai/scibert_scivocab_cased,0.7,1
Leuconotopicus arizonae,Dendrocopos arizonae,0.9319,synonym,allenai/scibert_scivocab_cased,0.7,1
Monasa nigrifrons,Bucco nigrifrons,0.8873,synonym,allenai/scibert_scivocab_cased,0.7,1
Reinwardtipicus validus,Picus martius,0.8317,synonym,allenai/scibert_scivocab_cased,0.7,0
