species,oldSpeciesCanonicalName,similarity,prediction,model,threshold,label
Melanerpes erythrocephalus,Picus erythrocephalus,0.8766,synonym,allenai/scibert_scivocab_uncased,0.7,1
Sphyrapicus varius,Picus varius,0.8626,synonym,allenai/scibert_scivocab_uncased,0.7,1
Dryobates pubescens,Dryobates affinis,0.8859,synonym,allenai/scibert_scivocab_uncased,0.7,0
Veniliornis mixtus,Picoides lignarius,0.8048,synonym,allenai/scibert_scivocab_uncased,0.7,0
Picumnus limae,Picumnus fulvescens,0.9433,synonym,allenai/scibert_scivocab_uncased,0.7,1
Celeus galeatus,Hylatomus galeatus,0.9273,synonym,allenai/scibert_scivocab_uncased,0.7,1
Veniliornis cassini,Dryobates cassini,0.9001,synonym,allenai/scibert_scivocab_uncased,0.7,1
Dryocopus lineatus,Hylatomus lineatus,0.9313,synonym,allenai/scibert_scivocab_uncased,0.7,1
Melanerpes striatus,Trachyphonus europeus,0.7935,synonym,allenai/scibert_scivocab_uncased,0.7,0
Galbula dea,Dryobates albolarvatus,0.5629,not synonym,allenai/scibert_scivocab_uncased,0.7,0
Aulacorhynchus caeruleogularis,Aulacorhamphus caeruleogularis,0.9288,synonym,allenai/scibert_scivocab_uncased,0.7,1
Veniliornis dignus,Picus callonotus,0.8709,synonym,allenai/scibert_scivocab_uncased,0.7,0
Melanerpes formicivorus,Picus formicivorus,0.8737,synonym,allenai/scibert_scivocab_uncased,0.7,1
Dryobates pubescens,Dendrocopos pubescens,0.905,synonym,allenai/scibert_scivocab_uncased,0.7,1
Colaptes auratus,Megalaima asiatica,0.8139,synonym,allenai/scibert_scivocab_uncased,0.7,0
Pardipicus caroli,Campethera caroli,0.7734,synonym,allenai/scibert_scivocab_uncased,0.7,1
Leuconotopicus arizonae,Dendrocopos arizonae,0.884,synonym,allenai/scibert_scivocab_uncased,0.7,1
Monasa nigrifrons,Bucco nigrifrons,0.914,synonym,allenai/scibert_scivocab_uncased,0.7,1
Reinwardtipicus validus,Picus martius,0.8136,synonym,allenai/scibert_scivocab_uncased,0.7,0
