species,oldSpeciesCanonicalName,similarity,prediction,model,threshold,label
Melanerpes erythrocephalus,Picus erythrocephalus,0.939,synonym,malteos/scincl,0.7,1
Sphyrapicus varius,Picus varius,0.8712,synonym,malteos/scincl,0.7,1
Dryobates pubescens,Dryobates affinis,0.9109,synonym,malteos/scincl,0.7,0
Veniliornis mixtus,Picoides lignarius,0.7868,synonym,malteos/scincl,0.7,0
Picumnus limae,Picumnus fulvescens,0.939,synonym,malteos/scincl,0.7,1
Celeus galeatus,Hylatomus galeatus,0.9206,synonym,malteos/scincl,0.7,1
Veniliornis cassini,Dryobates cassini,0.9228,synonym,malteos/scincl,0.7,1
Dryocopus lineatus,Hylatomus lineatus,0.9416,synonym,malteos/scincl,0.7,1
Melanerpes striatus,Trachyphonus europeus,0.8975,synonym,malteos/scincl,0.7,0
Galbula dea,Dryobates albolarvatus,0.7811,synonym,malteos/scincl,0.7,0
Aulacorhynchus caeruleogularis,Aulacorhamphus caeruleogularis,0.9631,synonym,malteos/scincl,0.7,1
Veniliornis dignus,Picus callonotus,0.9044,synonym,malteos/scincl,0.7,0
Melanerpes formicivorus,Picus formicivorus,0.9631,synonym,malteos/scincl,0.7,1
Dryobates pubescens,Dendrocopos pubescens,0.9133,synonym,malteos/scincl,0.7,1
Colaptes auratus,Megalaima asiatica,0.8303,synonym,malteos/scincl,0.7,0
Pardipicus caroli,Campethera caroli,0.9097,synonym,malteos/scincl,0.7,1
Leuconotopicus arizonae,Dendrocopos arizonae,0.884,synonym,malteos/scincl,0.7,1
Monasa nigrifrons,Bucco nigrifrons,0.9495,synonym,malteos/scincl,0.7,1
Reinwardtipicus validus,Picus martius,0.8279,synonym,malteos/scincl,0.7,0
Notharchus macrorhynchos,Pogonornis dubius,0.868,synonym,malteos/scincl,0.7,0
Galbula dea,Picus chrysochloros,0.7595,synonym,malteos/scincl,0.7,0
Psilopogon faber,Megalaima faber,0.8624,synonym,malteos/scincl,0.7,1
Dryocopus schulzii,Megalaima rubricapillus,0.8421,synonym,malteos/scincl,0.7,0
Dryobates minor,Cuculus tenebrosus,0.7672,synonym,malteos/scincl,0.7,0
Melanerpes carolinus,Picus carolinus,0.9519,synonym,malteos/scincl,0.7,1
Picus sharpei,Bucco collaris,0.7932,synonym,malteos/scincl,0.7,0
Dendrocoptes auriceps,Dendropicos pyrrhogaster,0.8616,synonym,malteos/scincl,0.7,0
Dryobates pubescens,Picoides pubescens,0.9451,synonym,malteos/scincl,0.7,1
Picumnus dorbignyanus,Megalaima faiostricta,0.8161,synonym,malteos/scincl,0.7,0
Melanerpes lewis,Picus spilogaster,0.8163,synonym,malteos/scincl,0.7,0
Melanerpes lewis,Asyndesmus lewisi,0.8874,synonym,malteos/scincl,0.7,1
Sphyrapicus varius,Picoides mixtus,0.8696,synonym,malteos/scincl,0.7,0
Chelidoptera tenebrosa,Picus campestris,0.824,synonym,malteos/scincl,0.7,0
Colaptes auricularis,Pincus canus,0.7725,synonym,malteos/scincl,0.7,0
Veniliornis dignus,Chloronerpes dignus,0.8649,synonym,malteos/scincl,0.7,1
Psilopogon viridis,Dendrocopos kizuki,0.8042,synonym,malteos/scincl,0.7,0
Selenidera nattereri,Pteroglossus spec,0.7621,synonym,malteos/scincl,0.7,1
Aulacorhynchus sulcatus,Pteroglossus sulcatus,0.9288,synonym,malteos/scincl,0.7,1
Dendrocopos major,Dryocopus major,0.8409,synonym,malteos/scincl,0.7,1
Psilopogon lineatus,Sapheopipo noguchii,0.7608,synonym,malteos/scincl,0.7,0
Celeus torquatus,Picus torquatus,0.9118,synonym,malteos/scincl,0.7,1
Dendrocoptes auriceps,Leiopicus auriceps,0.9614,synonym,malteos/scincl,0.7,1
Leuconotopicus fumigatus,Venilornis fumigatus,0.956,synonym,malteos/scincl,0.7,1
Dendrocopos major,Picoides major,0.8092,synonym,malteos/scincl,0.7,1
Dendrocopos major,Picus major,0.8296,synonym,malteos/scincl,0.7,1
Jacamerops aureus,Alcedo aurea,0.798,synonym,malteos/scincl,0.7,1
Yungipicus maculatus,Dendrocopos maculatus,0.9031,synonym,malteos/scincl,0.7,1
Veniliornis spilogaster,Picus undatus,0.8727,synonym,malteos/scincl,0.7,0
Nesoctites micromegas,Picumnus micromegas,0.8032,synonym,malteos/scincl,0.7,1
Melanerpes superciliaris,Cuculus ater,0.7584,synonym,malteos/scincl,0.7,0
Chloropicus pyrrhogaster,Alcedo dea,0.7143,synonym,malteos/scincl,0.7,0
Leuconotopicus albolarvatus,Dryobates albolarvatus,0.9281,synonym,malteos/scincl,0.7,1
Selenidera piperivora,Megalaima nuchalis,0.8151,synonym,malteos/scincl,0.7,0
Veniliornis lignarius,Dryobates lignarius,0.9639,synonym,malteos/scincl,0.7,1
Psilopogon rubricapillus,Calorhamphus fuliginosus,0.8563,synonym,malteos/scincl,0.7,0
Dendrocopos hyperythrus,Hypopicus hyperythrus,0.8711,synonym,malteos/scincl,0.7,1
Selenidera piperivora,Bucco rubecula,0.8069,synonym,malteos/scincl,0.7,0
Dendrocoptes auriceps,Mesopicos griseocephalus,0.8382,synonym,malteos/scincl,0.7,0
Micropternus brachyurus,Celeus brachyurus,0.8845,synonym,malteos/scincl,0.7,1
Melanerpes striatus,Picus striatus,0.9246,synonym,malteos/scincl,0.7,1
Lybius melanopterus,Dendrocopos scalaris,0.7695,synonym,malteos/scincl,0.7,0
Lybius melanopterus,Pogonornis melanopterus,0.957,synonym,malteos/scincl,0.7,1
Psilopogon flavifrons,Pogonornis melanopterus,0.8849,synonym,malteos/scincl,0.7,0
Dendrocoptes medius,Bucco zeylanicus,0.8557,synonym,malteos/scincl,0.7,0
Dendrocoptes auriceps,Picus borealis,0.8212,synonym,malteos/scincl,0.7,0
Picoides arcticus,Picus arcticus,0.9444,synonym,malteos/scincl,0.7,1
Celeus flavus,Picus principalis,0.8257,synonym,malteos/scincl,0.7,0
Picus sharpei,Dendropicos xantholophus,0.8685,synonym,malteos/scincl,0.7,0
Lybius dubius,Hypopicus hyperythrus,0.8704,synonym,malteos/scincl,0.7,0
Monasa nigrifrons,Dryobates callonotus,0.8628,synonym,malteos/scincl,0.7,0
Veniliornis mixtus,Galbula lugubris,0.8071,synonym,malteos/scincl,0.7,0
Veniliornis lignarius,Aulacorhamphus caeruleogularis,0.8172,synonym,malteos/scincl,0.7,0
Psilopogon asiaticus,Picus lewis,0.8104,synonym,malteos/scincl,0.7,0
Colaptes auratus,Picus galeatus,0.8568,synonym,malteos/scincl,0.7,0
Dryobates pubescens,Megalaima incognita,0.7175,synonym,malteos/scincl,0.7,0
