species,oldSpeciesCanonicalName,similarity,prediction,model,threshold
Xylorycta castanea,Lichenaula castanea,0.97,synonym,microsoft/BiomedNLP-BiomedBERT-base-uncased-abstract,0.7
Xylorycta luteotactella,Cryptolechia cognatella,0.9513,synonym,microsoft/BiomedNLP-BiomedBERT-base-uncased-abstract,0.7
Xylorycta luteotactella,Cryptolechia luteotactella,0.982,synonym,microsoft/BiomedNLP-BiomedBERT-base-uncased-abstract,0.7
Xylorycta nivella,Cryptolechia nivella,0.9664,synonym,microsoft/BiomedNLP-BiomedBERT-base-uncased-abstract,0.7
Xylorycta stereodesma,Xylorycta prospicua,0.9812,synonym,microsoft/BiomedNLP-BiomedBERT-base-uncased-abstract,0.7
Xylorycta polysticha,Lichenaula polysticha,0.9875,synonym,microsoft/BiomedNLP-BiomedBERT-base-uncased-abstract,0.7
Xylorycta heliomacula,Telecrates heliomacula,0.9673,synonym,microsoft/BiomedNLP-BiomedBERT-base-uncased-abstract,0.7
Xylorycta assimilis,Xylorycta terenopis,0.9823,synonym,microsoft/BiomedNLP-BiomedBERT-base-uncased-abstract,0.7
Xylorycta haplochroa,Lichenaula haplochroa,0.9793,synonym,microsoft/BiomedNLP-BiomedBERT-base-uncased-abstract,0.7
Xylorycta haplochroa,Lichenaula umbrosa,0.9625,synonym,microsoft/BiomedNLP-BiomedBERT-base-uncased-abstract,0.7
Xylorycta cygnella,Cryptolechia cygnella,0.9685,synonym,microsoft/BiomedNLP-BiomedBERT-base-uncased-abstract,0.7
Xylorycta calligramma,Telecrates calligramma,0.9445,synonym,microsoft/BiomedNLP-BiomedBERT-base-uncased-abstract,0.7
Xylorycta streptogramma,Telecrates streptogramma,0.9559,synonym,microsoft/BiomedNLP-BiomedBERT-base-uncased-abstract,0.7
Xylorycta ovata,Antaeotricha ovata,0.9778,synonym,microsoft/BiomedNLP-BiomedBERT-base-uncased-abstract,0.7
Xylorycta candescens,Lichenaula dissimilis,0.9655,synonym,microsoft/BiomedNLP-BiomedBERT-base-uncased-abstract,0.7
Xylorycta strigata,Cryptophasa strigata,0.975,synonym,microsoft/BiomedNLP-BiomedBERT-base-uncased-abstract,0.7
Xylorycta apheles,Neodrepta apheles,0.9572,synonym,microsoft/BiomedNLP-BiomedBERT-base-uncased-abstract,0.7
Xylorycta apheles,Xylorycta lychnobii,0.9816,synonym,microsoft/BiomedNLP-BiomedBERT-base-uncased-abstract,0.7
Xylorycta argentella,Cryptolechia argentella,0.9638,synonym,microsoft/BiomedNLP-BiomedBERT-base-uncased-abstract,0.7
Synchalara rhombota,Agriophara rhombota,0.9763,synonym,microsoft/BiomedNLP-BiomedBERT-base-uncased-abstract,0.7
Paralecta tinctoria,Xylorycta tinctoria,0.9734,synonym,microsoft/BiomedNLP-BiomedBERT-base-uncased-abstract,0.7
Sphalerostola epierana,Exapateter epierana,0.9806,synonym,microsoft/BiomedNLP-BiomedBERT-base-uncased-abstract,0.7
Metathrinca ancistrias,Ptochoryctis ancistrias,0.9741,synonym,microsoft/BiomedNLP-BiomedBERT-base-uncased-abstract,0.7
Metathrinca ceromorpha,Ptochoryctis ceromorpha,0.981,synonym,microsoft/BiomedNLP-BiomedBERT-base-uncased-abstract,0.7
Metathrinca illuvialis,Ptochoryctis illuvialis,0.9717,synonym,microsoft/BiomedNLP-BiomedBERT-base-uncased-abstract,0.7
Metathrinca intacta,Ptochoryctis intacta,0.9495,synonym,microsoft/BiomedNLP-BiomedBERT-base-uncased-abstract,0.7
Metathrinca loranthivora,Ptochoryctis loranthivora,0.9815,synonym,microsoft/BiomedNLP-BiomedBERT-base-uncased-abstract,0.7
Metathrinca parabola,Ptochoryctis parabola,0.9612,synonym,microsoft/BiomedNLP-BiomedBERT-base-uncased-abstract,0.7
Metathrinca rosaria,Ptochoryctis rosaria,0.9538,synonym,microsoft/BiomedNLP-BiomedBERT-base-uncased-abstract,0.7
Metathrinca tsugensis,Ptochoryctis tsugensis,0.9732,synonym,microsoft/BiomedNLP-BiomedBERT-base-uncased-abstract,0.7
Liparistis monosema,Lichenaula monosema,0.9688,synonym,microsoft/BiomedNLP-BiomedBERT-base-uncased-abstract,0.7
Athrypsiastis candidella,Topiris candidella,0.9822,synonym,microsoft/BiomedNLP-BiomedBERT-base-uncased-abstract,0.7
Bida radiosella,Bida crambella,0.9805,synonym,microsoft/BiomedNLP-BiomedBERT-base-uncased-abstract,0.7
Bida radiosella,Psecadia radiosella,0.9792,synonym,microsoft/BiomedNLP-BiomedBERT-base-uncased-abstract,0.7
Perixestis rhizophaga,Xylorycta rhizophaga,0.9798,synonym,microsoft/BiomedNLP-BiomedBERT-base-uncased-abstract,0.7
Phthonerodes scotarcha,Psilosceles dichochroa,0.9698,synonym,microsoft/BiomedNLP-BiomedBERT-base-uncased-abstract,0.7
Iulactis insignis,Dectobathra insignis,0.9712,synonym,microsoft/BiomedNLP-BiomedBERT-base-uncased-abstract,0.7
Xylodryadella cryeranthes,Xylodryas cryeranthes,0.9942,synonym,microsoft/BiomedNLP-BiomedBERT-base-uncased-abstract,0.7
Neospastis encryphias,Agriophara encryphias,0.9835,synonym,microsoft/BiomedNLP-BiomedBERT-base-uncased-abstract,0.7
Neospastis ichnaea,Stenoma ichnaea,0.9791,synonym,microsoft/BiomedNLP-BiomedBERT-base-uncased-abstract,0.7
Philarista porphyrinella,Brunia intersecta,0.9352,synonym,microsoft/BiomedNLP-BiomedBERT-base-uncased-abstract,0.7
Philarista porphyrinella,Cryptolechia porphyrinella,0.971,synonym,microsoft/BiomedNLP-BiomedBERT-base-uncased-abstract,0.7
Cyanocrates grandis,Cyanocrates signata,0.9591,synonym,microsoft/BiomedNLP-BiomedBERT-base-uncased-abstract,0.7
Cyanocrates grandis,Ommatothelxis grandis,0.9394,synonym,microsoft/BiomedNLP-BiomedBERT-base-uncased-abstract,0.7
Lichenaula afflictella,Cryptolechia afflictella,0.9634,synonym,microsoft/BiomedNLP-BiomedBERT-base-uncased-abstract,0.7
Lichenaula lichenea,Lichenaula lichenaea,0.9968,synonym,microsoft/BiomedNLP-BiomedBERT-base-uncased-abstract,0.7
Lichenaula cryptoleuca,Phthonerodes cryptoleuca,0.9796,synonym,microsoft/BiomedNLP-BiomedBERT-base-uncased-abstract,0.7
Lichenaula laniata,Lichenaula sternoides,0.9884,synonym,microsoft/BiomedNLP-BiomedBERT-base-uncased-abstract,0.7
Lichenaula comparella,Lichenaula callisema,0.9868,synonym,microsoft/BiomedNLP-BiomedBERT-base-uncased-abstract,0.7
Lichenaula comparella,Oecophora comparella,0.9754,synonym,microsoft/BiomedNLP-BiomedBERT-base-uncased-abstract,0.7
Lichenaula anthracopsara,Phthonerodes anthracopsara,0.9724,synonym,microsoft/BiomedNLP-BiomedBERT-base-uncased-abstract,0.7
Lichenaula phloeochroa,Lichenaula provisa,0.9827,synonym,microsoft/BiomedNLP-BiomedBERT-base-uncased-abstract,0.7
Lichenaula maculosa,Polynesa maculosa,0.9602,synonym,microsoft/BiomedNLP-BiomedBERT-base-uncased-abstract,0.7
Heterochyta aprepta,Heterochyta abrepta,0.9962,synonym,microsoft/BiomedNLP-BiomedBERT-base-uncased-abstract,0.7
Heterochyta aprepta,Macrobela aprepta,0.982,synonym,microsoft/BiomedNLP-BiomedBERT-base-uncased-abstract,0.7
Heterochyta infesta,Heterobathra infesta,0.9786,synonym,microsoft/BiomedNLP-BiomedBERT-base-uncased-abstract,0.7
Catoryctis leucomerata,Phthonerodes leucomerata,0.9745,synonym,microsoft/BiomedNLP-BiomedBERT-base-uncased-abstract,0.7
Catoryctis sciastis,Xylorycta sciastis,0.9794,synonym,microsoft/BiomedNLP-BiomedBERT-base-uncased-abstract,0.7
Catoryctis subnexella,Oecophora subnexella,0.9831,synonym,microsoft/BiomedNLP-BiomedBERT-base-uncased-abstract,0.7
Catoryctis subparallela,Oecophora fissulella,0.9532,synonym,microsoft/BiomedNLP-BiomedBERT-base-uncased-abstract,0.7
Catoryctis subparallela,Oecophora nexella,0.9433,synonym,microsoft/BiomedNLP-BiomedBERT-base-uncased-abstract,0.7
Catoryctis subparallela,Oecophora subparallela,0.979,synonym,microsoft/BiomedNLP-BiomedBERT-base-uncased-abstract,0.7
Brachybelistis blackburnii,Cryptophaga blackburnii,0.9757,synonym,microsoft/BiomedNLP-BiomedBERT-base-uncased-abstract,0.7
Brachybelistis pentachroa,Xylorycta pentachroa,0.983,synonym,microsoft/BiomedNLP-BiomedBERT-base-uncased-abstract,0.7
Telecrates desmochrysa,Telecrates nigricansella,0.9768,synonym,microsoft/BiomedNLP-BiomedBERT-base-uncased-abstract,0.7
Telecrates laetiorella,Oecophora laetiorella,0.9619,synonym,microsoft/BiomedNLP-BiomedBERT-base-uncased-abstract,0.7
Telecrates melanochrysa,Xylorycta melanochrysa,0.9704,synonym,microsoft/BiomedNLP-BiomedBERT-base-uncased-abstract,0.7
Gomphoscopa catoryctopsis,Pachycera catoryctopsis,0.979,synonym,microsoft/BiomedNLP-BiomedBERT-base-uncased-abstract,0.7
Thymiatris allocrossa,Lichenaula allocrossa,0.9833,synonym,microsoft/BiomedNLP-BiomedBERT-base-uncased-abstract,0.7
Thymiatris cephalochra,Xylorycta cephalochra,0.9728,synonym,microsoft/BiomedNLP-BiomedBERT-base-uncased-abstract,0.7
Leptobelistis isthmodes,Oegoconia isthmodes,0.9773,synonym,microsoft/BiomedNLP-BiomedBERT-base-uncased-abstract,0.7
Plectophila acrochroa,Xylorycta acrochroa,0.9785,synonym,microsoft/BiomedNLP-BiomedBERT-base-uncased-abstract,0.7
Plectophila discalis,Acontia discalis,0.9452,synonym,microsoft/BiomedNLP-BiomedBERT-base-uncased-abstract,0.7
Plectophila discalis,Lichenaula inscripta,0.9537,synonym,microsoft/BiomedNLP-BiomedBERT-base-uncased-abstract,0.7
Plectophila discalis,Lichenaula ombralota,0.9474,synonym,microsoft/BiomedNLP-BiomedBERT-base-uncased-abstract,0.7
Plectophila discalis,Lichenaula oxygona,0.9517,synonym,microsoft/BiomedNLP-BiomedBERT-base-uncased-abstract,0.7
Plectophila electella,Oecophora electella,0.9546,synonym,microsoft/BiomedNLP-BiomedBERT-base-uncased-abstract,0.7
Plectophila eucrines,Lichenaula eucrines,0.9722,synonym,microsoft/BiomedNLP-BiomedBERT-base-uncased-abstract,0.7
Plectophila micradelpha,Lichenaula micradelpha,0.9795,synonym,microsoft/BiomedNLP-BiomedBERT-base-uncased-abstract,0.7
Plectophila pyrgodes,Plectophila ascripta,0.981,synonym,microsoft/BiomedNLP-BiomedBERT-base-uncased-abstract,0.7
Plectophila thiophanes,Xylorycta thiophanes,0.9795,synonym,microsoft/BiomedNLP-BiomedBERT-base-uncased-abstract,0.7
Potniarcha hierastis,Cryptophaga hierastis,0.9744,synonym,microsoft/BiomedNLP-BiomedBERT-base-uncased-abstract,0.7
Zaphanaula hemileuca,Antiopala moderata,0.9491,synonym,microsoft/BiomedNLP-BiomedBERT-base-uncased-abstract,0.7
Zaphanaula hemileuca,Oecophora hemileuca,0.9815,synonym,microsoft/BiomedNLP-BiomedBERT-base-uncased-abstract,0.7
Zaphanaula hemileuca,Peltophora leucoplaca,0.9502,synonym,microsoft/BiomedNLP-BiomedBERT-base-uncased-abstract,0.7
Zaphanaula hemileuca,Zaphanaula diffusa,0.9797,synonym,microsoft/BiomedNLP-BiomedBERT-base-uncased-abstract,0.7
Zaphanaula hemileuca,Zaphanaula xenophila,0.9654,synonym,microsoft/BiomedNLP-BiomedBERT-base-uncased-abstract,0.7
Cophomantella aphanozona,Cophomantis aphanozona,0.9916,synonym,microsoft/BiomedNLP-BiomedBERT-base-uncased-abstract,0.7
Cophomantella artonoma,Cophomantis artonoma,0.9875,synonym,microsoft/BiomedNLP-BiomedBERT-base-uncased-abstract,0.7
Cophomantella bifrenata,Onebala bifrenata,0.9752,synonym,microsoft/BiomedNLP-BiomedBERT-base-uncased-abstract,0.7
Cophomantella bythota,Onebala bythota,0.975,synonym,microsoft/BiomedNLP-BiomedBERT-base-uncased-abstract,0.7
Cophomantella crypsizyga,Onebala crypsizyga,0.9821,synonym,microsoft/BiomedNLP-BiomedBERT-base-uncased-abstract,0.7
Cophomantella cubiculata,Onebala cubiculata,0.9731,synonym,microsoft/BiomedNLP-BiomedBERT-base-uncased-abstract,0.7
Cophomantella cyclopodes,Onebala cyclopodes,0.9781,synonym,microsoft/BiomedNLP-BiomedBERT-base-uncased-abstract,0.7
Cophomantella elaphopis,Onebala elaphopis,0.9782,synonym,microsoft/BiomedNLP-BiomedBERT-base-uncased-abstract,0.7
Cophomantella ephanozona,Cophomantis ephanozona,0.9897,synonym,microsoft/BiomedNLP-BiomedBERT-base-uncased-abstract,0.7
Cophomantella eremota,Onebala eremota,0.9735,synonym,microsoft/BiomedNLP-BiomedBERT-base-uncased-abstract,0.7
Cophomantella furnaria,Lecithocera furnaria,0.9741,synonym,microsoft/BiomedNLP-BiomedBERT-base-uncased-abstract,0.7
Cophomantella homogramma,Onebala homogramma,0.9737,synonym,microsoft/BiomedNLP-BiomedBERT-base-uncased-abstract,0.7
Cophomantella lychnocentra,Styloceros lychnocentra,0.982,synonym,microsoft/BiomedNLP-BiomedBERT-base-uncased-abstract,0.7
Cophomantella myadelpha,Onebala myadelpha,0.9709,synonym,microsoft/BiomedNLP-BiomedBERT-base-uncased-abstract,0.7
Cophomantella osphrantica,Cophomantis osphrantica,0.982,synonym,microsoft/BiomedNLP-BiomedBERT-base-uncased-abstract,0.7
Cophomantella pumicata,Cophomantis pumicata,0.9805,synonym,microsoft/BiomedNLP-BiomedBERT-base-uncased-abstract,0.7
Cophomantella syngonarcha,Cophomantis syngonarcha,0.9853,synonym,microsoft/BiomedNLP-BiomedBERT-base-uncased-abstract,0.7
Hylypnes isosticha,Odites isosticha,0.9709,synonym,microsoft/BiomedNLP-BiomedBERT-base-uncased-abstract,0.7
Hylypnes leptosticta,Cryptolechia leptosticta,0.9607,synonym,microsoft/BiomedNLP-BiomedBERT-base-uncased-abstract,0.7
Hylypnes pudica,Odites pudica,0.9262,synonym,microsoft/BiomedNLP-BiomedBERT-base-uncased-abstract,0.7
Eupetochira xystopala,Nephantis xystopala,0.9657,synonym,microsoft/BiomedNLP-BiomedBERT-base-uncased-abstract,0.7
Xylomimetes trachyptera,Pilostibes trachyptera,0.9788,synonym,microsoft/BiomedNLP-BiomedBERT-base-uncased-abstract,0.7
