species,oldSpeciesCanonicalName,similarity,prediction,model,threshold
Archaeophylax worthyi,Waitomophylax worthyi,0.6239,not synonym,AI-Growth-Lab/PatentSBERTa,0.7
Mycterus curculioides,Mycterus curculionides,0.9755,synonym,AI-Growth-Lab/PatentSBERTa,0.7
Mycterus curculioides,Mycterus curculionoides,0.9841,synonym,AI-Growth-Lab/PatentSBERTa,0.7
Mycterus quadricollis,Mycterus depressus,0.7442,synonym,AI-Growth-Lab/PatentSBERTa,0.7
Megatoma atypica,Cretomegatoma atypica,0.7249,synonym,AI-Growth-Lab/PatentSBERTa,0.7
Trogoderma glabrum,Anthrenus niger,0.3816,not synonym,AI-Growth-Lab/PatentSBERTa,0.7
Trogoderma glabrum,Trogoderma fuscicornis,0.7854,synonym,AI-Growth-Lab/PatentSBERTa,0.7
Trogoderma glabrum,Trogoderma niger,0.723,synonym,AI-Growth-Lab/PatentSBERTa,0.7
Trogoderma glabrum,Trogoderma nigrum,0.7698,synonym,AI-Growth-Lab/PatentSBERTa,0.7
Trogoderma grassmani,Trogoderma grassmani,1.0,synonym,AI-Growth-Lab/PatentSBERTa,0.7
Trogoderma megatomoides,Entomotrogus megatomoides,0.7935,synonym,AI-Growth-Lab/PatentSBERTa,0.7
Ctesias serra,Tiresias serra,0.8317,synonym,AI-Growth-Lab/PatentSBERTa,0.7
Sefrania bleusei,Fohrer bleusei,0.6074,not synonym,AI-Growth-Lab/PatentSBERTa,0.7
Phradonoma tricolor,Trogoderma tricolor,0.7297,synonym,AI-Growth-Lab/PatentSBERTa,0.7
Labrocerus concolor,Labrocerus simplex,0.8094,synonym,AI-Growth-Lab/PatentSBERTa,0.7
Labrocerus depressus,Eocerus depressus,0.6551,not synonym,AI-Growth-Lab/PatentSBERTa,0.7
Labrocerus setosus,Labrocerus affinis,0.8316,synonym,AI-Growth-Lab/PatentSBERTa,0.7
Labrocerus setosus,Labrocerus pallipes,0.801,synonym,AI-Growth-Lab/PatentSBERTa,0.7
Labrocerus similaris,Argocerus similaris,0.7714,synonym,AI-Growth-Lab/PatentSBERTa,0.7
Labrocerus similaris,Argocerus subguttatus,0.6046,not synonym,AI-Growth-Lab/PatentSBERTa,0.7
Labrocerus vestitus,Labrocerus flavicornis,0.8065,synonym,AI-Growth-Lab/PatentSBERTa,0.7
Attagenus australis,Trinodes australis,0.7113,synonym,AI-Growth-Lab/PatentSBERTa,0.7
Attagenus brunneus,Attagenus elongatulus,0.7262,synonym,AI-Growth-Lab/PatentSBERTa,0.7
Attagenus brunneus,Attagenus elongatus,0.7622,synonym,AI-Growth-Lab/PatentSBERTa,0.7
Attagenus brunneus,Attagenus marginicollis,0.721,synonym,AI-Growth-Lab/PatentSBERTa,0.7
Attagenus fasciatus,Attagenus anulifer,0.7802,synonym,AI-Growth-Lab/PatentSBERTa,0.7
Attagenus fasciatus,Attagenus gloriosae,0.7954,synonym,AI-Growth-Lab/PatentSBERTa,0.7
Attagenus fasciatus,Attagenus gloriosus,0.8077,synonym,AI-Growth-Lab/PatentSBERTa,0.7
Attagenus quadrimaculatus,Attagenus 4-maculatus,0.8374,synonym,AI-Growth-Lab/PatentSBERTa,0.7
Attagenus trifasciatus,Attagenus 3-fasciatus,0.8885,synonym,AI-Growth-Lab/PatentSBERTa,0.7
Attagenus undulatus,Aethriostoma undulata,0.6599,not synonym,AI-Growth-Lab/PatentSBERTa,0.7
Attagenus unicolor,Attagenus megatoma,0.7083,synonym,AI-Growth-Lab/PatentSBERTa,0.7
Attagenus unicolor,Attagenus piceus,0.7572,synonym,AI-Growth-Lab/PatentSBERTa,0.7
Thaumaglossa anthrenoides,Pseudothaumaglossa anthrenoides,0.8702,synonym,AI-Growth-Lab/PatentSBERTa,0.7
Orphinus fulvipes,Cryptorhopalum brevicorne,0.4179,not synonym,AI-Growth-Lab/PatentSBERTa,0.7
Orphinus fulvipes,Orphinus brevicorne,0.7487,synonym,AI-Growth-Lab/PatentSBERTa,0.7
Orphinus fulvipes,Orphinus brevicornis,0.7831,synonym,AI-Growth-Lab/PatentSBERTa,0.7
Orphinus fulvipes,Trogoderma fulvipes,0.6775,not synonym,AI-Growth-Lab/PatentSBERTa,0.7
Thorictodes heydeni,Thaumaphrastus heydeni,0.7155,synonym,AI-Growth-Lab/PatentSBERTa,0.7
Thorictodes heydeni,Thorictodes karanisensis,0.8066,synonym,AI-Growth-Lab/PatentSBERTa,0.7
Megatoma alpina,Globicornis alpina,0.7212,synonym,AI-Growth-Lab/PatentSBERTa,0.7
Heterocerus crinitus,Augyles crinitus,0.6317,not synonym,AI-Growth-Lab/PatentSBERTa,0.7
Heterocerus fenestratus,Heterocerus pulchellus,0.7522,synonym,AI-Growth-Lab/PatentSBERTa,0.7
Heterocerus flindersi,Heterocerus caledoniae,0.847,synonym,AI-Growth-Lab/PatentSBERTa,0.7
Heterocerus maritimus,Augyles britannicus,0.4508,not synonym,AI-Growth-Lab/PatentSBERTa,0.7
Heterocerus maritimus,Heterocerus basalis,0.8126,synonym,AI-Growth-Lab/PatentSBERTa,0.7
Heterocerus maritimus,Heterocerus britannicus,0.7958,synonym,AI-Growth-Lab/PatentSBERTa,0.7
Heterocerus maritimus,Heterocerus burchanensis,0.8077,synonym,AI-Growth-Lab/PatentSBERTa,0.7
Augyles aureolus,Heterocerus aureolus,0.6651,not synonym,AI-Growth-Lab/PatentSBERTa,0.7
Pastillodes areolatus,Cybocephalus areolatus,0.6844,not synonym,AI-Growth-Lab/PatentSBERTa,0.7
Cybocephalus binotatus,Cybocephalus aeneonittens,0.8182,synonym,AI-Growth-Lab/PatentSBERTa,0.7
Cybocephalus membranaceus,Dissia membranaceus,0.7002,synonym,AI-Growth-Lab/PatentSBERTa,0.7
Cybocephalus politissimus,Cybocephalus flavicapitus,0.8438,synonym,AI-Growth-Lab/PatentSBERTa,0.7
Cybocephalus politissimus,Cybocephalus flavocapitis,0.8028,synonym,AI-Growth-Lab/PatentSBERTa,0.7
Cybocephalus amplus,Dissia ampla,0.4925,not synonym,AI-Growth-Lab/PatentSBERTa,0.7
Cybocephalus sublucidus,Brachypterus sublucidus,0.7627,synonym,AI-Growth-Lab/PatentSBERTa,0.7
Pacicephalus gressitti,Cybocephalus gressitti,0.8206,synonym,AI-Growth-Lab/PatentSBERTa,0.7
Amedissia argentinus,Pycnocephalus argentinus,0.6633,not synonym,AI-Growth-Lab/PatentSBERTa,0.7
Theticephalus aurocupreus,Cybocephalus aurocupreus,0.8014,synonym,AI-Growth-Lab/PatentSBERTa,0.7
Theticephalus decamerus,Cybocephalus decamerus,0.7337,synonym,AI-Growth-Lab/PatentSBERTa,0.7
