species,oldSpeciesCanonicalName,similarity,prediction,model,threshold
Xylorycta castanea,Lichenaula castanea,0.6724,not synonym,AI-Growth-Lab/PatentSBERTa,0.7
Xylorycta luteotactella,Cryptolechia cognatella,0.5368,not synonym,AI-Growth-Lab/PatentSBERTa,0.7
Xylorycta luteotactella,Cryptolechia luteotactella,0.7389,synonym,AI-Growth-Lab/PatentSBERTa,0.7
Xylorycta nivella,Cryptolechia nivella,0.6717,not synonym,AI-Growth-Lab/PatentSBERTa,0.7
Xylorycta stereodesma,Xylorycta prospicua,0.7779,synonym,AI-Growth-Lab/PatentSBERTa,0.7
Xylorycta polysticha,Lichenaula polysticha,0.7288,synonym,AI-Growth-Lab/PatentSBERTa,0.7
Xylorycta heliomacula,Telecrates heliomacula,0.7075,synonym,AI-Growth-Lab/PatentSBERTa,0.7
Xylorycta assimilis,Xylorycta terenopis,0.8194,synonym,AI-Growth-Lab/PatentSBERTa,0.7
Xylorycta haplochroa,Lichenaula haplochroa,0.6494,not synonym,AI-Growth-Lab/PatentSBERTa,0.7
Xylorycta haplochroa,Lichenaula umbrosa,0.4732,not synonym,AI-Growth-Lab/PatentSBERTa,0.7
Xylorycta cygnella,Cryptolechia cygnella,0.7393,synonym,AI-Growth-Lab/PatentSBERTa,0.7
Xylorycta calligramma,Telecrates calligramma,0.6942,not synonym,AI-Growth-Lab/PatentSBERTa,0.7
Xylorycta streptogramma,Telecrates streptogramma,0.7345,synonym,AI-Growth-Lab/PatentSBERTa,0.7
Xylorycta ovata,Antaeotricha ovata,0.627,not synonym,AI-Growth-Lab/PatentSBERTa,0.7
Xylorycta candescens,Lichenaula dissimilis,0.5624,not synonym,AI-Growth-Lab/PatentSBERTa,0.7
Xylorycta strigata,Cryptophasa strigata,0.6483,not synonym,AI-Growth-Lab/PatentSBERTa,0.7
Xylorycta apheles,Neodrepta apheles,0.6381,not synonym,AI-Growth-Lab/PatentSBERTa,0.7
Xylorycta apheles,Xylorycta lychnobii,0.8174,synonym,AI-Growth-Lab/PatentSBERTa,0.7
Xylorycta argentella,Cryptolechia argentella,0.7178,synonym,AI-Growth-Lab/PatentSBERTa,0.7
Synchalara rhombota,Agriophara rhombota,0.7611,synonym,AI-Growth-Lab/PatentSBERTa,0.7
Paralecta tinctoria,Xylorycta tinctoria,0.7488,synonym,AI-Growth-Lab/PatentSBERTa,0.7
Sphalerostola epierana,Exapateter epierana,0.6968,not synonym,AI-Growth-Lab/PatentSBERTa,0.7
Metathrinca ancistrias,Ptochoryctis ancistrias,0.7119,synonym,AI-Growth-Lab/PatentSBERTa,0.7
Metathrinca ceromorpha,Ptochoryctis ceromorpha,0.7579,synonym,AI-Growth-Lab/PatentSBERTa,0.7
Metathrinca illuvialis,Ptochoryctis illuvialis,0.704,synonym,AI-Growth-Lab/PatentSBERTa,0.7
Metathrinca intacta,Ptochoryctis intacta,0.6233,not synonym,AI-Growth-Lab/PatentSBERTa,0.7
Metathrinca loranthivora,Ptochoryctis loranthivora,0.7276,synonym,AI-Growth-Lab/PatentSBERTa,0.7
Metathrinca parabola,Ptochoryctis parabola,0.7161,synonym,AI-Growth-Lab/PatentSBERTa,0.7
Metathrinca rosaria,Ptochoryctis rosaria,0.7148,synonym,AI-Growth-Lab/PatentSBERTa,0.7
Metathrinca tsugensis,Ptochoryctis tsugensis,0.7302,synonym,AI-Growth-Lab/PatentSBERTa,0.7
Liparistis monosema,Lichenaula monosema,0.7035,synonym,AI-Growth-Lab/PatentSBERTa,0.7
Athrypsiastis candidella,Topiris candidella,0.7158,synonym,AI-Growth-Lab/PatentSBERTa,0.7
Bida radiosella,Bida crambella,0.7343,synonym,AI-Growth-Lab/PatentSBERTa,0.7
Bida radiosella,Psecadia radiosella,0.722,synonym,AI-Growth-Lab/PatentSBERTa,0.7
Perixestis rhizophaga,Xylorycta rhizophaga,0.701,synonym,AI-Growth-Lab/PatentSBERTa,0.7
Phthonerodes scotarcha,Psilosceles dichochroa,0.5194,not synonym,AI-Growth-Lab/PatentSBERTa,0.7
Iulactis insignis,Dectobathra insignis,0.6906,not synonym,AI-Growth-Lab/PatentSBERTa,0.7
Xylodryadella cryeranthes,Xylodryas cryeranthes,0.9465,synonym,AI-Growth-Lab/PatentSBERTa,0.7
Neospastis encryphias,Agriophara encryphias,0.7514,synonym,AI-Growth-Lab/PatentSBERTa,0.7
Neospastis ichnaea,Stenoma ichnaea,0.7516,synonym,AI-Growth-Lab/PatentSBERTa,0.7
Philarista porphyrinella,Brunia intersecta,0.3662,not synonym,AI-Growth-Lab/PatentSBERTa,0.7
Philarista porphyrinella,Cryptolechia porphyrinella,0.7703,synonym,AI-Growth-Lab/PatentSBERTa,0.7
Cyanocrates grandis,Cyanocrates signata,0.8067,synonym,AI-Growth-Lab/PatentSBERTa,0.7
Cyanocrates grandis,Ommatothelxis grandis,0.6752,not synonym,AI-Growth-Lab/PatentSBERTa,0.7
Lichenaula afflictella,Cryptolechia afflictella,0.7163,synonym,AI-Growth-Lab/PatentSBERTa,0.7
Lichenaula lichenea,Lichenaula lichenaea,0.972,synonym,AI-Growth-Lab/PatentSBERTa,0.7
Lichenaula cryptoleuca,Phthonerodes cryptoleuca,0.7051,synonym,AI-Growth-Lab/PatentSBERTa,0.7
Lichenaula laniata,Lichenaula sternoides,0.7681,synonym,AI-Growth-Lab/PatentSBERTa,0.7
Lichenaula comparella,Lichenaula callisema,0.7862,synonym,AI-Growth-Lab/PatentSBERTa,0.7
Lichenaula comparella,Oecophora comparella,0.6523,not synonym,AI-Growth-Lab/PatentSBERTa,0.7
Lichenaula anthracopsara,Phthonerodes anthracopsara,0.7223,synonym,AI-Growth-Lab/PatentSBERTa,0.7
Lichenaula phloeochroa,Lichenaula provisa,0.7257,synonym,AI-Growth-Lab/PatentSBERTa,0.7
Lichenaula maculosa,Polynesa maculosa,0.7366,synonym,AI-Growth-Lab/PatentSBERTa,0.7
Heterochyta aprepta,Heterochyta abrepta,0.8447,synonym,AI-Growth-Lab/PatentSBERTa,0.7
Heterochyta aprepta,Macrobela aprepta,0.6715,not synonym,AI-Growth-Lab/PatentSBERTa,0.7
Heterochyta infesta,Heterobathra infesta,0.9315,synonym,AI-Growth-Lab/PatentSBERTa,0.7
Catoryctis leucomerata,Phthonerodes leucomerata,0.6927,not synonym,AI-Growth-Lab/PatentSBERTa,0.7
Catoryctis sciastis,Xylorycta sciastis,0.8063,synonym,AI-Growth-Lab/PatentSBERTa,0.7
Catoryctis subnexella,Oecophora subnexella,0.7427,synonym,AI-Growth-Lab/PatentSBERTa,0.7
Catoryctis subparallela,Oecophora fissulella,0.4606,not synonym,AI-Growth-Lab/PatentSBERTa,0.7
Catoryctis subparallela,Oecophora nexella,0.4751,not synonym,AI-Growth-Lab/PatentSBERTa,0.7
Catoryctis subparallela,Oecophora subparallela,0.749,synonym,AI-Growth-Lab/PatentSBERTa,0.7
Brachybelistis blackburnii,Cryptophaga blackburnii,0.7195,synonym,AI-Growth-Lab/PatentSBERTa,0.7
Brachybelistis pentachroa,Xylorycta pentachroa,0.6556,not synonym,AI-Growth-Lab/PatentSBERTa,0.7
Telecrates desmochrysa,Telecrates nigricansella,0.7159,synonym,AI-Growth-Lab/PatentSBERTa,0.7
Telecrates laetiorella,Oecophora laetiorella,0.6469,not synonym,AI-Growth-Lab/PatentSBERTa,0.7
Telecrates melanochrysa,Xylorycta melanochrysa,0.7374,synonym,AI-Growth-Lab/PatentSBERTa,0.7
Gomphoscopa catoryctopsis,Pachycera catoryctopsis,0.6778,not synonym,AI-Growth-Lab/PatentSBERTa,0.7
Thymiatris allocrossa,Lichenaula allocrossa,0.675,not synonym,AI-Growth-Lab/PatentSBERTa,0.7
Thymiatris cephalochra,Xylorycta cephalochra,0.764,synonym,AI-Growth-Lab/PatentSBERTa,0.7
Leptobelistis isthmodes,Oegoconia isthmodes,0.6845,not synonym,AI-Growth-Lab/PatentSBERTa,0.7
Plectophila acrochroa,Xylorycta acrochroa,0.7539,synonym,AI-Growth-Lab/PatentSBERTa,0.7
Plectophila discalis,Acontia discalis,0.6685,not synonym,AI-Growth-Lab/PatentSBERTa,0.7
Plectophila discalis,Lichenaula inscripta,0.4231,not synonym,AI-Growth-Lab/PatentSBERTa,0.7
Plectophila discalis,Lichenaula ombralota,0.4601,not synonym,AI-Growth-Lab/PatentSBERTa,0.7
Plectophila discalis,Lichenaula oxygona,0.3981,not synonym,AI-Growth-Lab/PatentSBERTa,0.7
Plectophila electella,Oecophora electella,0.8018,synonym,AI-Growth-Lab/PatentSBERTa,0.7
Plectophila eucrines,Lichenaula eucrines,0.6876,not synonym,AI-Growth-Lab/PatentSBERTa,0.7
Plectophila micradelpha,Lichenaula micradelpha,0.686,not synonym,AI-Growth-Lab/PatentSBERTa,0.7
Plectophila pyrgodes,Plectophila ascripta,0.7392,synonym,AI-Growth-Lab/PatentSBERTa,0.7
Plectophila thiophanes,Xylorycta thiophanes,0.7416,synonym,AI-Growth-Lab/PatentSBERTa,0.7
Potniarcha hierastis,Cryptophaga hierastis,0.7576,synonym,AI-Growth-Lab/PatentSBERTa,0.7
Zaphanaula hemileuca,Antiopala moderata,0.4521,not synonym,AI-Growth-Lab/PatentSBERTa,0.7
Zaphanaula hemileuca,Oecophora hemileuca,0.6991,not synonym,AI-Growth-Lab/PatentSBERTa,0.7
Zaphanaula hemileuca,Peltophora leucoplaca,0.5862,not synonym,AI-Growth-Lab/PatentSBERTa,0.7
Zaphanaula hemileuca,Zaphanaula diffusa,0.7651,synonym,AI-Growth-Lab/PatentSBERTa,0.7
Zaphanaula hemileuca,Zaphanaula xenophila,0.7249,synonym,AI-Growth-Lab/PatentSBERTa,0.7
Cophomantella aphanozona,Cophomantis aphanozona,0.9133,synonym,AI-Growth-Lab/PatentSBERTa,0.7
Cophomantella artonoma,Cophomantis artonoma,0.9223,synonym,AI-Growth-Lab/PatentSBERTa,0.7
Cophomantella bifrenata,Onebala bifrenata,0.6691,not synonym,AI-Growth-Lab/PatentSBERTa,0.7
Cophomantella bythota,Onebala bythota,0.5869,not synonym,AI-Growth-Lab/PatentSBERTa,0.7
Cophomantella crypsizyga,Onebala crypsizyga,0.649,not synonym,AI-Growth-Lab/PatentSBERTa,0.7
Cophomantella cubiculata,Onebala cubiculata,0.6016,not synonym,AI-Growth-Lab/PatentSBERTa,0.7
Cophomantella cyclopodes,Onebala cyclopodes,0.6615,not synonym,AI-Growth-Lab/PatentSBERTa,0.7
Cophomantella elaphopis,Onebala elaphopis,0.6004,not synonym,AI-Growth-Lab/PatentSBERTa,0.7
Cophomantella ephanozona,Cophomantis ephanozona,0.9161,synonym,AI-Growth-Lab/PatentSBERTa,0.7
Cophomantella eremota,Onebala eremota,0.5441,not synonym,AI-Growth-Lab/PatentSBERTa,0.7
Cophomantella furnaria,Lecithocera furnaria,0.7213,synonym,AI-Growth-Lab/PatentSBERTa,0.7
Cophomantella homogramma,Onebala homogramma,0.6186,not synonym,AI-Growth-Lab/PatentSBERTa,0.7
Cophomantella lychnocentra,Styloceros lychnocentra,0.7491,synonym,AI-Growth-Lab/PatentSBERTa,0.7
Cophomantella myadelpha,Onebala myadelpha,0.5612,not synonym,AI-Growth-Lab/PatentSBERTa,0.7
Cophomantella osphrantica,Cophomantis osphrantica,0.9267,synonym,AI-Growth-Lab/PatentSBERTa,0.7
Cophomantella pumicata,Cophomantis pumicata,0.9216,synonym,AI-Growth-Lab/PatentSBERTa,0.7
Cophomantella syngonarcha,Cophomantis syngonarcha,0.9109,synonym,AI-Growth-Lab/PatentSBERTa,0.7
Hylypnes isosticha,Odites isosticha,0.689,not synonym,AI-Growth-Lab/PatentSBERTa,0.7
Hylypnes leptosticta,Cryptolechia leptosticta,0.7629,synonym,AI-Growth-Lab/PatentSBERTa,0.7
Hylypnes pudica,Odites pudica,0.6392,not synonym,AI-Growth-Lab/PatentSBERTa,0.7
Eupetochira xystopala,Nephantis xystopala,0.7783,synonym,AI-Growth-Lab/PatentSBERTa,0.7
Xylomimetes trachyptera,Pilostibes trachyptera,0.7022,synonym,AI-Growth-Lab/PatentSBERTa,0.7
Arignota stercorata,Xylorycta stercorata,0.6976,not synonym,AI-Growth-Lab/PatentSBERTa,0.7
Zauclophora metaphaeella,Safra metaphaeella,0.7097,synonym,AI-Growth-Lab/PatentSBERTa,0.7
Zauclophora muscerdella,Cryptolechia muscerdella,0.7652,synonym,AI-Growth-Lab/PatentSBERTa,0.7
Zauclophora pelodes,Xylorycta cirrhodes,0.5653,not synonym,AI-Growth-Lab/PatentSBERTa,0.7
Zauclophora procellosa,Clerarcha procellosa,0.6491,not synonym,AI-Growth-Lab/PatentSBERTa,0.7
Scieropepla orthosema,Procometis orthosema,0.7272,synonym,AI-Growth-Lab/PatentSBERTa,0.7
Scieropepla reversella,Cryptolechia abrosella,0.5147,not synonym,AI-Growth-Lab/PatentSBERTa,0.7
Scieropepla reversella,Cryptolechia reversella,0.655,not synonym,AI-Growth-Lab/PatentSBERTa,0.7
Scieropepla serica,Tanyzancla serica,0.6885,not synonym,AI-Growth-Lab/PatentSBERTa,0.7
Scieropepla serina,Procometis trispora,0.6493,not synonym,AI-Growth-Lab/PatentSBERTa,0.7
Scieropepla typhicola,Scieropepla typicola,0.9186,synonym,AI-Growth-Lab/PatentSBERTa,0.7
Pilostibes basivitta,Marisba basivitta,0.6792,not synonym,AI-Growth-Lab/PatentSBERTa,0.7
Pilostibes basivitta,Pilostibes enchidias,0.7461,synonym,AI-Growth-Lab/PatentSBERTa,0.7
Thysiarcha ecclesiastis,Cryptophasa ecclesiastis,0.7145,synonym,AI-Growth-Lab/PatentSBERTa,0.7
Paralypusa chinensis,Pseudatemelia chinensis,0.7361,synonym,AI-Growth-Lab/PatentSBERTa,0.7
Diurnea fagella,Chimabacche fagella,0.7858,synonym,AI-Growth-Lab/PatentSBERTa,0.7
Diurnea fagella,Chimabacche nolckenella,0.4896,not synonym,AI-Growth-Lab/PatentSBERTa,0.7
Diurnea fagella,Diurnea dormoyella,0.7659,synonym,AI-Growth-Lab/PatentSBERTa,0.7
Diurnea fagella,Diurnea nolckenella,0.7217,synonym,AI-Growth-Lab/PatentSBERTa,0.7
Diurnea fagella,Tinea fagella,0.7256,synonym,AI-Growth-Lab/PatentSBERTa,0.7
Diurnea fumida,Dasystoma fumida,0.7891,synonym,AI-Growth-Lab/PatentSBERTa,0.7
Diurnea fumida,Sciaphila fumida,0.6577,not synonym,AI-Growth-Lab/PatentSBERTa,0.7
Diurnea lipsiella,Chimabacche phryganella,0.4849,not synonym,AI-Growth-Lab/PatentSBERTa,0.7
Diurnea lipsiella,Diurnea lipsiella,1.0,synonym,AI-Growth-Lab/PatentSBERTa,0.7
Diurnea lipsiella,Diurnea novembris,0.6749,not synonym,AI-Growth-Lab/PatentSBERTa,0.7
Diurnea lipsiella,Diurnea phryganella,0.71,synonym,AI-Growth-Lab/PatentSBERTa,0.7
Diurnea lipsiella,Lemmatophila phryganella,0.5073,not synonym,AI-Growth-Lab/PatentSBERTa,0.7
Dasystoma kurentzovi,Cheimophila kurentzovi,0.7523,synonym,AI-Growth-Lab/PatentSBERTa,0.7
Dasystoma salicella,Cheimophila salicella,0.7347,synonym,AI-Growth-Lab/PatentSBERTa,0.7
Dasystoma salicella,Hercyna rufocrinitalis,0.5975,not synonym,AI-Growth-Lab/PatentSBERTa,0.7
Dasystoma salicella,Lemmatophila salicella,0.7539,synonym,AI-Growth-Lab/PatentSBERTa,0.7
Agnoea aeneella,Borkhausenia aeneella,0.6925,not synonym,AI-Growth-Lab/PatentSBERTa,0.7
Agnoea colurnella,Borkhausenia colurnella,0.716,synonym,AI-Growth-Lab/PatentSBERTa,0.7
Agnoea colurnella,Borkhausenia pulverosella,0.5487,not synonym,AI-Growth-Lab/PatentSBERTa,0.7
Agnoea colurnella,Pseudatemelia colurnella,0.6632,not synonym,AI-Growth-Lab/PatentSBERTa,0.7
Agnoea detrimentella,Borkhausenia detrimentella,0.649,not synonym,AI-Growth-Lab/PatentSBERTa,0.7
Agnoea detrimentella,Pseudatemelia detrimentella,0.6152,not synonym,AI-Growth-Lab/PatentSBERTa,0.7
Agnoea elsae,Borkhausenia elsae,0.6349,not synonym,AI-Growth-Lab/PatentSBERTa,0.7
Agnoea elsae,Pseudatemelia elsae,0.624,not synonym,AI-Growth-Lab/PatentSBERTa,0.7
Agnoea filiella,Borkhausenia filiella,0.6907,not synonym,AI-Growth-Lab/PatentSBERTa,0.7
Agnoea filiella,Pseudatemelia filiella,0.62,not synonym,AI-Growth-Lab/PatentSBERTa,0.7
Agnoea flavifrontella,Borkhausenia flavifrontella,0.7292,synonym,AI-Growth-Lab/PatentSBERTa,0.7
Agnoea flavifrontella,Pseudatemelia flavifrontella,0.701,synonym,AI-Growth-Lab/PatentSBERTa,0.7
Agnoea flavifrontella,Tubuliferola flavifrontella,0.7222,synonym,AI-Growth-Lab/PatentSBERTa,0.7
Agnoea fuscifrontella,Agnoea evanescens,0.7654,synonym,AI-Growth-Lab/PatentSBERTa,0.7
Agnoea fuscifrontella,Blastobasis evanescens,0.5249,not synonym,AI-Growth-Lab/PatentSBERTa,0.7
Agnoea fuscifrontella,Borkhausenia fuscifrontella,0.7322,synonym,AI-Growth-Lab/PatentSBERTa,0.7
Agnoea fuscifrontella,Pseudatemelia fuscifrontella,0.6781,not synonym,AI-Growth-Lab/PatentSBERTa,0.7
Agnoea josephinae,Pseudatemelia josephinae,0.6377,not synonym,AI-Growth-Lab/PatentSBERTa,0.7
Agnoea langohri,Pseudatemelia langohri,0.6159,not synonym,AI-Growth-Lab/PatentSBERTa,0.7
Agnoea latipennella,Pseudatemelia latipennella,0.6501,not synonym,AI-Growth-Lab/PatentSBERTa,0.7
Agnoea lavandulae,Borkhausenia ardosiella,0.4749,not synonym,AI-Growth-Lab/PatentSBERTa,0.7
Agnoea lavandulae,Borkhausenia lavandulae,0.6341,not synonym,AI-Growth-Lab/PatentSBERTa,0.7
Agnoea lavandulae,Borkhausenia pulverisquamis,0.4213,not synonym,AI-Growth-Lab/PatentSBERTa,0.7
Agnoea lavandulae,Oecophora ardosiella,0.5815,not synonym,AI-Growth-Lab/PatentSBERTa,0.7
Agnoea lavandulae,Pseudatemelia lavandulae,0.6244,not synonym,AI-Growth-Lab/PatentSBERTa,0.7
Agnoea pallidella,Borkhausenia pallidella,0.6622,not synonym,AI-Growth-Lab/PatentSBERTa,0.7
Agnoea pallidella,Pseudatemelia pallidella,0.6299,not synonym,AI-Growth-Lab/PatentSBERTa,0.7
Agnoea semifuscata,Pseudatemelia semifuscata,0.6266,not synonym,AI-Growth-Lab/PatentSBERTa,0.7
Agnoea subgilvida,Pseudatemelia subgilvida,0.6431,not synonym,AI-Growth-Lab/PatentSBERTa,0.7
Agnoea subgilvida,Tubuliferola subgilvida,0.7047,synonym,AI-Growth-Lab/PatentSBERTa,0.7
Agnoea subochreella,Agnoea panzerella,0.7847,synonym,AI-Growth-Lab/PatentSBERTa,0.7
Agnoea subochreella,Pseudatemelia panzerella,0.4866,not synonym,AI-Growth-Lab/PatentSBERTa,0.7
Agnoea subochreella,Pseudatemelia subochreella,0.65,not synonym,AI-Growth-Lab/PatentSBERTa,0.7
Agnoea subochreella,Tubuliferola subochreella,0.745,synonym,AI-Growth-Lab/PatentSBERTa,0.7
Agnoea synchrozella,Pseudatemelia synchrozella,0.6827,not synonym,AI-Growth-Lab/PatentSBERTa,0.7
Agnoea xanthosoma,Pseudatemelia xanthosoma,0.6216,not synonym,AI-Growth-Lab/PatentSBERTa,0.7
Atosia doenia,Parasa doenia,0.6599,not synonym,AI-Growth-Lab/PatentSBERTa,0.7
Eukarschia mitis,Gephyrophora mitis,0.6924,not synonym,AI-Growth-Lab/PatentSBERTa,0.7
Euphlyctina phaeopasta,Araeogyia phaeopasta,0.8105,synonym,AI-Growth-Lab/PatentSBERTa,0.7
Lithacodes fasciola,Limacodes fasciola,0.845,synonym,AI-Growth-Lab/PatentSBERTa,0.7
Lithacodes fasciola,Lithacodes belfragei,0.7636,synonym,AI-Growth-Lab/PatentSBERTa,0.7
Lithacodes fasciola,Lithacodes divergens,0.7464,synonym,AI-Growth-Lab/PatentSBERTa,0.7
Lithacodes fasciola,Lithacodes laticlavia,0.7921,synonym,AI-Growth-Lab/PatentSBERTa,0.7
Lithacodes fiskeana,Tortricidia fiskeana,0.6122,not synonym,AI-Growth-Lab/PatentSBERTa,0.7
Parapluda incincta,Apluda incincta,0.7404,synonym,AI-Growth-Lab/PatentSBERTa,0.7
Parapluda incincta,Apluda schaliphlebia,0.5037,not synonym,AI-Growth-Lab/PatentSBERTa,0.7
Parapluda incincta,Parapluda schaliphlebia,0.6667,not synonym,AI-Growth-Lab/PatentSBERTa,0.7
Parapluda invitabilis,Apluda similis,0.5569,not synonym,AI-Growth-Lab/PatentSBERTa,0.7
Parapluda invitabilis,Heterogenea invitabilis,0.6568,not synonym,AI-Growth-Lab/PatentSBERTa,0.7
Parapluda invitabilis,Parapluda similis,0.7778,synonym,AI-Growth-Lab/PatentSBERTa,0.7
Parapluda monogramma,Apluda monogramma,0.7463,synonym,AI-Growth-Lab/PatentSBERTa,0.7
Parapluda syngrapha,Apluda syngrapha,0.7933,synonym,AI-Growth-Lab/PatentSBERTa,0.7
Euclea aemilia,Bombyx aemilia,0.7382,synonym,AI-Growth-Lab/PatentSBERTa,0.7
Euclea aemilia,Euclea discolor,0.6957,not synonym,AI-Growth-Lab/PatentSBERTa,0.7
Euclea bidiscalis,Miresa doriens,0.5321,not synonym,AI-Growth-Lab/PatentSBERTa,0.7
Euclea byrne,Metraga byrne,0.8047,synonym,AI-Growth-Lab/PatentSBERTa,0.7
Euclea cippus,Bombyx cippus,0.6815,not synonym,AI-Growth-Lab/PatentSBERTa,0.7
Euclea cippus,Phalaena cippus,0.7246,synonym,AI-Growth-Lab/PatentSBERTa,0.7
Euclea copac,Neomiresa copac,0.7255,synonym,AI-Growth-Lab/PatentSBERTa,0.7
Euclea delphinii,Empretia paenulata,0.5648,not synonym,AI-Growth-Lab/PatentSBERTa,0.7
Euclea delphinii,Euclea bifida,0.7425,synonym,AI-Growth-Lab/PatentSBERTa,0.7
Euclea delphinii,Euclea elliotii,0.8092,synonym,AI-Growth-Lab/PatentSBERTa,0.7
Euclea delphinii,Euclea ferruginea,0.7657,synonym,AI-Growth-Lab/PatentSBERTa,0.7
Euclea delphinii,Euclea interjecta,0.7144,synonym,AI-Growth-Lab/PatentSBERTa,0.7
Euclea delphinii,Euclea mira,0.7873,synonym,AI-Growth-Lab/PatentSBERTa,0.7
Euclea delphinii,Euclea monitor,0.6574,not synonym,AI-Growth-Lab/PatentSBERTa,0.7
Euclea delphinii,Euclea strigata,0.7635,synonym,AI-Growth-Lab/PatentSBERTa,0.7
Euclea delphinii,Euclea viridiclava,0.7554,synonym,AI-Growth-Lab/PatentSBERTa,0.7
Euclea delphinii,Limacodes argentata,0.4817,not synonym,AI-Growth-Lab/PatentSBERTa,0.7
Euclea delphinii,Limacodes delphinii,0.7244,synonym,AI-Growth-Lab/PatentSBERTa,0.7
Euclea delphinii,Limacodes querceti,0.5105,not synonym,AI-Growth-Lab/PatentSBERTa,0.7
Euclea delphinii,Limacodes quercicola,0.4644,not synonym,AI-Growth-Lab/PatentSBERTa,0.7
Euclea delphinii,Nochelia tardigrada,0.5799,not synonym,AI-Growth-Lab/PatentSBERTa,0.7
Euclea delphinii,Nyssia varia,0.5372,not synonym,AI-Growth-Lab/PatentSBERTa,0.7
Euclea delphinii,Parasa excisa,0.5037,not synonym,AI-Growth-Lab/PatentSBERTa,0.7
Euclea delphinii,Parasa incisa,0.4819,not synonym,AI-Growth-Lab/PatentSBERTa,0.7
Euclea delphinii,Sibine varia,0.5648,not synonym,AI-Growth-Lab/PatentSBERTa,0.7
Euclea determinata,Metraga costilinea,0.452,not synonym,AI-Growth-Lab/PatentSBERTa,0.7
Euclea dicolon,Phalaena dicolon,0.7253,synonym,AI-Growth-Lab/PatentSBERTa,0.7
Euclea diversa,Euclea retroversa,0.7675,synonym,AI-Growth-Lab/PatentSBERTa,0.7
Euclea diversa,Semyra diversa,0.7039,synonym,AI-Growth-Lab/PatentSBERTa,0.7
Euclea diversa,Teinorhyncha vericrux,0.4558,not synonym,AI-Growth-Lab/PatentSBERTa,0.7
Euclea dolosa,Hydrias dolosa,0.7544,synonym,AI-Growth-Lab/PatentSBERTa,0.7
Euclea norba,Sibine norba,0.6937,not synonym,AI-Growth-Lab/PatentSBERTa,0.7
Euclea plugma,Euclea chiriquensis,0.6706,not synonym,AI-Growth-Lab/PatentSBERTa,0.7
Euclea plugma,Euclea zygia,0.7123,synonym,AI-Growth-Lab/PatentSBERTa,0.7
Euclea plugma,Metraga colle,0.4829,not synonym,AI-Growth-Lab/PatentSBERTa,0.7
Euclea plugma,Metraga hoboa,0.4451,not synonym,AI-Growth-Lab/PatentSBERTa,0.7
Euclea plugma,Metraga perplexa,0.5519,not synonym,AI-Growth-Lab/PatentSBERTa,0.7
Euclea plugma,Phalaena plugma,0.7427,synonym,AI-Growth-Lab/PatentSBERTa,0.7
Euclea rufa,Neomires rufa,0.7079,synonym,AI-Growth-Lab/PatentSBERTa,0.7
Euclea spadicis,Monoleuca spadicis,0.7801,synonym,AI-Growth-Lab/PatentSBERTa,0.7
Pectinarosa alastor,Altha alastor,0.6161,not synonym,AI-Growth-Lab/PatentSBERTa,0.7
Melinaria campagnei,Parasa campagnei,0.7119,synonym,AI-Growth-Lab/PatentSBERTa,0.7
Melinaria repanda,Neaera repanda,0.7182,synonym,AI-Growth-Lab/PatentSBERTa,0.7
Melinaria repanda,Parasa repanda,0.6979,not synonym,AI-Growth-Lab/PatentSBERTa,0.7
Caffricola cloeckneria,Bombyx cloeckneria,0.6177,not synonym,AI-Growth-Lab/PatentSBERTa,0.7
Heringocena andobo,Pseudomocena andobo,0.6221,not synonym,AI-Growth-Lab/PatentSBERTa,0.7
Heringocena difficilis,Pseudomocena difficilis,0.7103,synonym,AI-Growth-Lab/PatentSBERTa,0.7
