species,oldSpeciesCanonicalName,similarity,prediction,model,threshold
Archaeophylax worthyi,Waitomophylax worthyi,0.3502,not synonym,pritamdeka/S-BioBERT-snli-multinli-stsb,0.7
Mycterus curculioides,Mycterus curculionides,0.9136,synonym,pritamdeka/S-BioBERT-snli-multinli-stsb,0.7
Mycterus curculioides,Mycterus curculionoides,0.9341,synonym,pritamdeka/S-BioBERT-snli-multinli-stsb,0.7
Mycterus quadricollis,Mycterus depressus,0.513,not synonym,pritamdeka/S-BioBERT-snli-multinli-stsb,0.7
Megatoma atypica,Cretomegatoma atypica,0.6299,not synonym,pritamdeka/S-BioBERT-snli-multinli-stsb,0.7
Trogoderma glabrum,Anthrenus niger,0.2865,not synonym,pritamdeka/S-BioBERT-snli-multinli-stsb,0.7
Trogoderma glabrum,Trogoderma fuscicornis,0.6973,not synonym,pritamdeka/S-BioBERT-snli-multinli-stsb,0.7
Trogoderma glabrum,Trogoderma niger,0.6922,not synonym,pritamdeka/S-BioBERT-snli-multinli-stsb,0.7
Trogoderma glabrum,Trogoderma nigrum,0.8145,synonym,pritamdeka/S-BioBERT-snli-multinli-stsb,0.7
Trogoderma grassmani,Trogoderma grassmani,1.0,synonym,pritamdeka/S-BioBERT-snli-multinli-stsb,0.7
Trogoderma megatomoides,Entomotrogus megatomoides,0.673,not synonym,pritamdeka/S-BioBERT-snli-multinli-stsb,0.7
Ctesias serra,Tiresias serra,0.5267,not synonym,pritamdeka/S-BioBERT-snli-multinli-stsb,0.7
Sefrania bleusei,Fohrer bleusei,0.5139,not synonym,pritamdeka/S-BioBERT-snli-multinli-stsb,0.7
Phradonoma tricolor,Trogoderma tricolor,0.6369,not synonym,pritamdeka/S-BioBERT-snli-multinli-stsb,0.7
Labrocerus concolor,Labrocerus simplex,0.6112,not synonym,pritamdeka/S-BioBERT-snli-multinli-stsb,0.7
Labrocerus depressus,Eocerus depressus,0.5587,not synonym,pritamdeka/S-BioBERT-snli-multinli-stsb,0.7
Labrocerus setosus,Labrocerus affinis,0.7094,synonym,pritamdeka/S-BioBERT-snli-multinli-stsb,0.7
Labrocerus setosus,Labrocerus pallipes,0.6151,not synonym,pritamdeka/S-BioBERT-snli-multinli-stsb,0.7
Labrocerus similaris,Argocerus similaris,0.7496,synonym,pritamdeka/S-BioBERT-snli-multinli-stsb,0.7
Labrocerus similaris,Argocerus subguttatus,0.3465,not synonym,pritamdeka/S-BioBERT-snli-multinli-stsb,0.7
Labrocerus vestitus,Labrocerus flavicornis,0.7048,synonym,pritamdeka/S-BioBERT-snli-multinli-stsb,0.7
Attagenus australis,Trinodes australis,0.7423,synonym,pritamdeka/S-BioBERT-snli-multinli-stsb,0.7
Attagenus brunneus,Attagenus elongatulus,0.6305,not synonym,pritamdeka/S-BioBERT-snli-multinli-stsb,0.7
Attagenus brunneus,Attagenus elongatus,0.6471,not synonym,pritamdeka/S-BioBERT-snli-multinli-stsb,0.7
Attagenus brunneus,Attagenus marginicollis,0.5951,not synonym,pritamdeka/S-BioBERT-snli-multinli-stsb,0.7
Attagenus fasciatus,Attagenus anulifer,0.5999,not synonym,pritamdeka/S-BioBERT-snli-multinli-stsb,0.7
Attagenus fasciatus,Attagenus gloriosae,0.5829,not synonym,pritamdeka/S-BioBERT-snli-multinli-stsb,0.7
Attagenus fasciatus,Attagenus gloriosus,0.5925,not synonym,pritamdeka/S-BioBERT-snli-multinli-stsb,0.7
Attagenus quadrimaculatus,Attagenus 4-maculatus,0.5425,not synonym,pritamdeka/S-BioBERT-snli-multinli-stsb,0.7
Attagenus trifasciatus,Attagenus 3-fasciatus,0.5468,not synonym,pritamdeka/S-BioBERT-snli-multinli-stsb,0.7
Attagenus undulatus,Aethriostoma undulata,0.6354,not synonym,pritamdeka/S-BioBERT-snli-multinli-stsb,0.7
Attagenus unicolor,Attagenus megatoma,0.4702,not synonym,pritamdeka/S-BioBERT-snli-multinli-stsb,0.7
Attagenus unicolor,Attagenus piceus,0.4759,not synonym,pritamdeka/S-BioBERT-snli-multinli-stsb,0.7
Thaumaglossa anthrenoides,Pseudothaumaglossa anthrenoides,0.8994,synonym,pritamdeka/S-BioBERT-snli-multinli-stsb,0.7
Orphinus fulvipes,Cryptorhopalum brevicorne,0.2919,not synonym,pritamdeka/S-BioBERT-snli-multinli-stsb,0.7
Orphinus fulvipes,Orphinus brevicorne,0.6667,not synonym,pritamdeka/S-BioBERT-snli-multinli-stsb,0.7
Orphinus fulvipes,Orphinus brevicornis,0.6453,not synonym,pritamdeka/S-BioBERT-snli-multinli-stsb,0.7
Orphinus fulvipes,Trogoderma fulvipes,0.5848,not synonym,pritamdeka/S-BioBERT-snli-multinli-stsb,0.7
