species,oldSpeciesCanonicalName,similarity,prediction,model,threshold
Xylorycta castanea,Lichenaula castanea,0.7539,synonym,pritamdeka/S-BioBERT-snli-multinli-stsb,0.7
Xylorycta luteotactella,Cryptolechia cognatella,0.3193,not synonym,pritamdeka/S-BioBERT-snli-multinli-stsb,0.7
Xylorycta luteotactella,Cryptolechia luteotactella,0.6706,not synonym,pritamdeka/S-BioBERT-snli-multinli-stsb,0.7
Xylorycta nivella,Cryptolechia nivella,0.4668,not synonym,pritamdeka/S-BioBERT-snli-multinli-stsb,0.7
Xylorycta stereodesma,Xylorycta prospicua,0.7199,synonym,pritamdeka/S-BioBERT-snli-multinli-stsb,0.7
Xylorycta polysticha,Lichenaula polysticha,0.6878,not synonym,pritamdeka/S-BioBERT-snli-multinli-stsb,0.7
Xylorycta heliomacula,Telecrates heliomacula,0.4518,not synonym,pritamdeka/S-BioBERT-snli-multinli-stsb,0.7
Xylorycta assimilis,Xylorycta terenopis,0.7527,synonym,pritamdeka/S-BioBERT-snli-multinli-stsb,0.7
Xylorycta haplochroa,Lichenaula haplochroa,0.7167,synonym,pritamdeka/S-BioBERT-snli-multinli-stsb,0.7
Xylorycta haplochroa,Lichenaula umbrosa,0.2323,not synonym,pritamdeka/S-BioBERT-snli-multinli-stsb,0.7
Xylorycta cygnella,Cryptolechia cygnella,0.6361,not synonym,pritamdeka/S-BioBERT-snli-multinli-stsb,0.7
Xylorycta calligramma,Telecrates calligramma,0.3663,not synonym,pritamdeka/S-BioBERT-snli-multinli-stsb,0.7
Xylorycta streptogramma,Telecrates streptogramma,0.5181,not synonym,pritamdeka/S-BioBERT-snli-multinli-stsb,0.7
Xylorycta ovata,Antaeotricha ovata,0.6108,not synonym,pritamdeka/S-BioBERT-snli-multinli-stsb,0.7
Xylorycta candescens,Lichenaula dissimilis,0.3225,not synonym,pritamdeka/S-BioBERT-snli-multinli-stsb,0.7
Xylorycta strigata,Cryptophasa strigata,0.3661,not synonym,pritamdeka/S-BioBERT-snli-multinli-stsb,0.7
Xylorycta apheles,Neodrepta apheles,0.4451,not synonym,pritamdeka/S-BioBERT-snli-multinli-stsb,0.7
Xylorycta apheles,Xylorycta lychnobii,0.6592,not synonym,pritamdeka/S-BioBERT-snli-multinli-stsb,0.7
Xylorycta argentella,Cryptolechia argentella,0.5458,not synonym,pritamdeka/S-BioBERT-snli-multinli-stsb,0.7
Synchalara rhombota,Agriophara rhombota,0.7777,synonym,pritamdeka/S-BioBERT-snli-multinli-stsb,0.7
Paralecta tinctoria,Xylorycta tinctoria,0.6463,not synonym,pritamdeka/S-BioBERT-snli-multinli-stsb,0.7
Sphalerostola epierana,Exapateter epierana,0.623,not synonym,pritamdeka/S-BioBERT-snli-multinli-stsb,0.7
Metathrinca ancistrias,Ptochoryctis ancistrias,0.6255,not synonym,pritamdeka/S-BioBERT-snli-multinli-stsb,0.7
Metathrinca ceromorpha,Ptochoryctis ceromorpha,0.7195,synonym,pritamdeka/S-BioBERT-snli-multinli-stsb,0.7
Metathrinca illuvialis,Ptochoryctis illuvialis,0.6608,not synonym,pritamdeka/S-BioBERT-snli-multinli-stsb,0.7
Metathrinca intacta,Ptochoryctis intacta,0.679,not synonym,pritamdeka/S-BioBERT-snli-multinli-stsb,0.7
Metathrinca loranthivora,Ptochoryctis loranthivora,0.7049,synonym,pritamdeka/S-BioBERT-snli-multinli-stsb,0.7
Metathrinca parabola,Ptochoryctis parabola,0.7539,synonym,pritamdeka/S-BioBERT-snli-multinli-stsb,0.7
Metathrinca rosaria,Ptochoryctis rosaria,0.6879,not synonym,pritamdeka/S-BioBERT-snli-multinli-stsb,0.7
Metathrinca tsugensis,Ptochoryctis tsugensis,0.7057,synonym,pritamdeka/S-BioBERT-snli-multinli-stsb,0.7
Liparistis monosema,Lichenaula monosema,0.8384,synonym,pritamdeka/S-BioBERT-snli-multinli-stsb,0.7
Athrypsiastis candidella,Topiris candidella,0.4711,not synonym,pritamdeka/S-BioBERT-snli-multinli-stsb,0.7
Bida radiosella,Bida crambella,0.5745,not synonym,pritamdeka/S-BioBERT-snli-multinli-stsb,0.7
Bida radiosella,Psecadia radiosella,0.5907,not synonym,pritamdeka/S-BioBERT-snli-multinli-stsb,0.7
Perixestis rhizophaga,Xylorycta rhizophaga,0.779,synonym,pritamdeka/S-BioBERT-snli-multinli-stsb,0.7
Phthonerodes scotarcha,Psilosceles dichochroa,0.6196,not synonym,pritamdeka/S-BioBERT-snli-multinli-stsb,0.7
Iulactis insignis,Dectobathra insignis,0.6147,not synonym,pritamdeka/S-BioBERT-snli-multinli-stsb,0.7
Xylodryadella cryeranthes,Xylodryas cryeranthes,0.9531,synonym,pritamdeka/S-BioBERT-snli-multinli-stsb,0.7
Neospastis encryphias,Agriophara encryphias,0.5303,not synonym,pritamdeka/S-BioBERT-snli-multinli-stsb,0.7
Neospastis ichnaea,Stenoma ichnaea,0.6381,not synonym,pritamdeka/S-BioBERT-snli-multinli-stsb,0.7
Philarista porphyrinella,Brunia intersecta,0.2714,not synonym,pritamdeka/S-BioBERT-snli-multinli-stsb,0.7
Philarista porphyrinella,Cryptolechia porphyrinella,0.5783,not synonym,pritamdeka/S-BioBERT-snli-multinli-stsb,0.7
Cyanocrates grandis,Cyanocrates signata,0.6897,not synonym,pritamdeka/S-BioBERT-snli-multinli-stsb,0.7
Cyanocrates grandis,Ommatothelxis grandis,0.3694,not synonym,pritamdeka/S-BioBERT-snli-multinli-stsb,0.7
Lichenaula afflictella,Cryptolechia afflictella,0.4897,not synonym,pritamdeka/S-BioBERT-snli-multinli-stsb,0.7
Lichenaula lichenea,Lichenaula lichenaea,0.9485,synonym,pritamdeka/S-BioBERT-snli-multinli-stsb,0.7
Lichenaula cryptoleuca,Phthonerodes cryptoleuca,0.708,synonym,pritamdeka/S-BioBERT-snli-multinli-stsb,0.7
Lichenaula laniata,Lichenaula sternoides,0.541,not synonym,pritamdeka/S-BioBERT-snli-multinli-stsb,0.7
