species,oldSpeciesCanonicalName,similarity,prediction,model,threshold
Xylorycta castanea,Lichenaula castanea,0.5794,not synonym,sentence-transformers/all-MiniLM-L6-v2,0.7
Xylorycta luteotactella,Cryptolechia cognatella,0.2903,not synonym,sentence-transformers/all-MiniLM-L6-v2,0.7
Xylorycta luteotactella,Cryptolechia luteotactella,0.7037,synonym,sentence-transformers/all-MiniLM-L6-v2,0.7
Xylorycta nivella,Cryptolechia nivella,0.5513,not synonym,sentence-transformers/all-MiniLM-L6-v2,0.7
Xylorycta stereodesma,Xylorycta prospicua,0.7013,synonym,sentence-transformers/all-MiniLM-L6-v2,0.7
Xylorycta polysticha,Lichenaula polysticha,0.5626,not synonym,sentence-transformers/all-MiniLM-L6-v2,0.7
Xylorycta heliomacula,Telecrates heliomacula,0.4978,not synonym,sentence-transformers/all-MiniLM-L6-v2,0.7
Xylorycta assimilis,Xylorycta terenopis,0.7739,synonym,sentence-transformers/all-MiniLM-L6-v2,0.7
Xylorycta haplochroa,Lichenaula haplochroa,0.4733,not synonym,sentence-transformers/all-MiniLM-L6-v2,0.7
Xylorycta haplochroa,Lichenaula umbrosa,0.2942,not synonym,sentence-transformers/all-MiniLM-L6-v2,0.7
Xylorycta cygnella,Cryptolechia cygnella,0.6341,not synonym,sentence-transformers/all-MiniLM-L6-v2,0.7
Xylorycta calligramma,Telecrates calligramma,0.5377,not synonym,sentence-transformers/all-MiniLM-L6-v2,0.7
Xylorycta streptogramma,Telecrates streptogramma,0.4702,not synonym,sentence-transformers/all-MiniLM-L6-v2,0.7
Xylorycta ovata,Antaeotricha ovata,0.5249,not synonym,sentence-transformers/all-MiniLM-L6-v2,0.7
Xylorycta candescens,Lichenaula dissimilis,0.2983,not synonym,sentence-transformers/all-MiniLM-L6-v2,0.7
Xylorycta strigata,Cryptophasa strigata,0.5851,not synonym,sentence-transformers/all-MiniLM-L6-v2,0.7
Xylorycta apheles,Neodrepta apheles,0.4286,not synonym,sentence-transformers/all-MiniLM-L6-v2,0.7
Xylorycta apheles,Xylorycta lychnobii,0.5858,not synonym,sentence-transformers/all-MiniLM-L6-v2,0.7
Xylorycta argentella,Cryptolechia argentella,0.6385,not synonym,sentence-transformers/all-MiniLM-L6-v2,0.7
Synchalara rhombota,Agriophara rhombota,0.6263,not synonym,sentence-transformers/all-MiniLM-L6-v2,0.7
Paralecta tinctoria,Xylorycta tinctoria,0.6449,not synonym,sentence-transformers/all-MiniLM-L6-v2,0.7
Sphalerostola epierana,Exapateter epierana,0.6515,not synonym,sentence-transformers/all-MiniLM-L6-v2,0.7
Metathrinca ancistrias,Ptochoryctis ancistrias,0.529,not synonym,sentence-transformers/all-MiniLM-L6-v2,0.7
Metathrinca ceromorpha,Ptochoryctis ceromorpha,0.6075,not synonym,sentence-transformers/all-MiniLM-L6-v2,0.7
Metathrinca illuvialis,Ptochoryctis illuvialis,0.527,not synonym,sentence-transformers/all-MiniLM-L6-v2,0.7
Metathrinca intacta,Ptochoryctis intacta,0.3705,not synonym,sentence-transformers/all-MiniLM-L6-v2,0.7
Metathrinca loranthivora,Ptochoryctis loranthivora,0.5174,not synonym,sentence-transformers/all-MiniLM-L6-v2,0.7
Metathrinca parabola,Ptochoryctis parabola,0.5826,not synonym,sentence-transformers/all-MiniLM-L6-v2,0.7
Metathrinca rosaria,Ptochoryctis rosaria,0.577,not synonym,sentence-transformers/all-MiniLM-L6-v2,0.7
Metathrinca tsugensis,Ptochoryctis tsugensis,0.5184,not synonym,sentence-transformers/all-MiniLM-L6-v2,0.7
Liparistis monosema,Lichenaula monosema,0.5425,not synonym,sentence-transformers/all-MiniLM-L6-v2,0.7
Athrypsiastis candidella,Topiris candidella,0.5673,not synonym,sentence-transformers/all-MiniLM-L6-v2,0.7
Bida radiosella,Bida crambella,0.6174,not synonym,sentence-transformers/all-MiniLM-L6-v2,0.7
Bida radiosella,Psecadia radiosella,0.6714,not synonym,sentence-transformers/all-MiniLM-L6-v2,0.7
Perixestis rhizophaga,Xylorycta rhizophaga,0.6477,not synonym,sentence-transformers/all-MiniLM-L6-v2,0.7
