species,oldSpeciesCanonicalName,similarity,prediction,model,threshold
Xylorycta castanea,Lichenaula castanea,0.5854,not synonym,sentence-transformers/all-mpnet-base-v2,0.7
Xylorycta luteotactella,Cryptolechia cognatella,0.5101,not synonym,sentence-transformers/all-mpnet-base-v2,0.7
Xylorycta luteotactella,Cryptolechia luteotactella,0.6366,not synonym,sentence-transformers/all-mpnet-base-v2,0.7
Xylorycta nivella,Cryptolechia nivella,0.6488,not synonym,sentence-transformers/all-mpnet-base-v2,0.7
Xylorycta stereodesma,Xylorycta prospicua,0.837,synonym,sentence-transformers/all-mpnet-base-v2,0.7
Xylorycta polysticha,Lichenaula polysticha,0.5448,not synonym,sentence-transformers/all-mpnet-base-v2,0.7
Xylorycta heliomacula,Telecrates heliomacula,0.4756,not synonym,sentence-transformers/all-mpnet-base-v2,0.7
Xylorycta assimilis,Xylorycta terenopis,0.9337,synonym,sentence-transformers/all-mpnet-base-v2,0.7
Xylorycta haplochroa,Lichenaula haplochroa,0.5639,not synonym,sentence-transformers/all-mpnet-base-v2,0.7
Xylorycta haplochroa,Lichenaula umbrosa,0.4822,not synonym,sentence-transformers/all-mpnet-base-v2,0.7
Xylorycta cygnella,Cryptolechia cygnella,0.5934,not synonym,sentence-transformers/all-mpnet-base-v2,0.7
Xylorycta calligramma,Telecrates calligramma,0.4147,not synonym,sentence-transformers/all-mpnet-base-v2,0.7
Xylorycta streptogramma,Telecrates streptogramma,0.4796,not synonym,sentence-transformers/all-mpnet-base-v2,0.7
Xylorycta ovata,Antaeotricha ovata,0.5063,not synonym,sentence-transformers/all-mpnet-base-v2,0.7
Xylorycta candescens,Lichenaula dissimilis,0.4487,not synonym,sentence-transformers/all-mpnet-base-v2,0.7
Xylorycta strigata,Cryptophasa strigata,0.5255,not synonym,sentence-transformers/all-mpnet-base-v2,0.7
Xylorycta apheles,Neodrepta apheles,0.4883,not synonym,sentence-transformers/all-mpnet-base-v2,0.7
Xylorycta apheles,Xylorycta lychnobii,0.9065,synonym,sentence-transformers/all-mpnet-base-v2,0.7
Xylorycta argentella,Cryptolechia argentella,0.649,not synonym,sentence-transformers/all-mpnet-base-v2,0.7
Synchalara rhombota,Agriophara rhombota,0.6706,not synonym,sentence-transformers/all-mpnet-base-v2,0.7
Paralecta tinctoria,Xylorycta tinctoria,0.676,not synonym,sentence-transformers/all-mpnet-base-v2,0.7
Sphalerostola epierana,Exapateter epierana,0.4149,not synonym,sentence-transformers/all-mpnet-base-v2,0.7
Metathrinca ancistrias,Ptochoryctis ancistrias,0.513,not synonym,sentence-transformers/all-mpnet-base-v2,0.7
Metathrinca ceromorpha,Ptochoryctis ceromorpha,0.5973,not synonym,sentence-transformers/all-mpnet-base-v2,0.7
Metathrinca illuvialis,Ptochoryctis illuvialis,0.5108,not synonym,sentence-transformers/all-mpnet-base-v2,0.7
Metathrinca intacta,Ptochoryctis intacta,0.5429,not synonym,sentence-transformers/all-mpnet-base-v2,0.7
Metathrinca loranthivora,Ptochoryctis loranthivora,0.56,not synonym,sentence-transformers/all-mpnet-base-v2,0.7
Metathrinca parabola,Ptochoryctis parabola,0.6754,not synonym,sentence-transformers/all-mpnet-base-v2,0.7
Metathrinca rosaria,Ptochoryctis rosaria,0.6116,not synonym,sentence-transformers/all-mpnet-base-v2,0.7
Metathrinca tsugensis,Ptochoryctis tsugensis,0.5524,not synonym,sentence-transformers/all-mpnet-base-v2,0.7
Liparistis monosema,Lichenaula monosema,0.6151,not synonym,sentence-transformers/all-mpnet-base-v2,0.7
Athrypsiastis candidella,Topiris candidella,0.5658,not synonym,sentence-transformers/all-mpnet-base-v2,0.7
Bida radiosella,Bida crambella,0.6838,not synonym,sentence-transformers/all-mpnet-base-v2,0.7
Bida radiosella,Psecadia radiosella,0.7383,synonym,sentence-transformers/all-mpnet-base-v2,0.7
Perixestis rhizophaga,Xylorycta rhizophaga,0.6487,not synonym,sentence-transformers/all-mpnet-base-v2,0.7
Phthonerodes scotarcha,Psilosceles dichochroa,0.4478,not synonym,sentence-transformers/all-mpnet-base-v2,0.7
Iulactis insignis,Dectobathra insignis,0.6331,not synonym,sentence-transformers/all-mpnet-base-v2,0.7
Xylodryadella cryeranthes,Xylodryas cryeranthes,0.8962,synonym,sentence-transformers/all-mpnet-base-v2,0.7
Neospastis encryphias,Agriophara encryphias,0.5254,not synonym,sentence-transformers/all-mpnet-base-v2,0.7
Neospastis ichnaea,Stenoma ichnaea,0.6199,not synonym,sentence-transformers/all-mpnet-base-v2,0.7
Philarista porphyrinella,Brunia intersecta,0.2383,not synonym,sentence-transformers/all-mpnet-base-v2,0.7
Philarista porphyrinella,Cryptolechia porphyrinella,0.5887,not synonym,sentence-transformers/all-mpnet-base-v2,0.7
Cyanocrates grandis,Cyanocrates signata,0.8097,synonym,sentence-transformers/all-mpnet-base-v2,0.7
Cyanocrates grandis,Ommatothelxis grandis,0.6054,not synonym,sentence-transformers/all-mpnet-base-v2,0.7
Lichenaula afflictella,Cryptolechia afflictella,0.5529,not synonym,sentence-transformers/all-mpnet-base-v2,0.7
Lichenaula lichenea,Lichenaula lichenaea,0.962,synonym,sentence-transformers/all-mpnet-base-v2,0.7
Lichenaula cryptoleuca,Phthonerodes cryptoleuca,0.6154,not synonym,sentence-transformers/all-mpnet-base-v2,0.7
Lichenaula laniata,Lichenaula sternoides,0.8799,synonym,sentence-transformers/all-mpnet-base-v2,0.7
Lichenaula comparella,Lichenaula callisema,0.8116,synonym,sentence-transformers/all-mpnet-base-v2,0.7
Lichenaula comparella,Oecophora comparella,0.5136,not synonym,sentence-transformers/all-mpnet-base-v2,0.7
Lichenaula anthracopsara,Phthonerodes anthracopsara,0.5888,not synonym,sentence-transformers/all-mpnet-base-v2,0.7
Lichenaula phloeochroa,Lichenaula provisa,0.8845,synonym,sentence-transformers/all-mpnet-base-v2,0.7
Lichenaula maculosa,Polynesa maculosa,0.5899,not synonym,sentence-transformers/all-mpnet-base-v2,0.7
Heterochyta aprepta,Heterochyta abrepta,0.8742,synonym,sentence-transformers/all-mpnet-base-v2,0.7
Heterochyta aprepta,Macrobela aprepta,0.3826,not synonym,sentence-transformers/all-mpnet-base-v2,0.7
Heterochyta infesta,Heterobathra infesta,0.8822,synonym,sentence-transformers/all-mpnet-base-v2,0.7
Catoryctis leucomerata,Phthonerodes leucomerata,0.6263,not synonym,sentence-transformers/all-mpnet-base-v2,0.7
Catoryctis sciastis,Xylorycta sciastis,0.6367,not synonym,sentence-transformers/all-mpnet-base-v2,0.7
Catoryctis subnexella,Oecophora subnexella,0.6407,not synonym,sentence-transformers/all-mpnet-base-v2,0.7
Catoryctis subparallela,Oecophora fissulella,0.4322,not synonym,sentence-transformers/all-mpnet-base-v2,0.7
Catoryctis subparallela,Oecophora nexella,0.4502,not synonym,sentence-transformers/all-mpnet-base-v2,0.7
Catoryctis subparallela,Oecophora subparallela,0.622,not synonym,sentence-transformers/all-mpnet-base-v2,0.7
Brachybelistis blackburnii,Cryptophaga blackburnii,0.6559,not synonym,sentence-transformers/all-mpnet-base-v2,0.7
Brachybelistis pentachroa,Xylorycta pentachroa,0.4661,not synonym,sentence-transformers/all-mpnet-base-v2,0.7
Telecrates desmochrysa,Telecrates nigricansella,0.5982,not synonym,sentence-transformers/all-mpnet-base-v2,0.7
Telecrates laetiorella,Oecophora laetiorella,0.3975,not synonym,sentence-transformers/all-mpnet-base-v2,0.7
Telecrates melanochrysa,Xylorycta melanochrysa,0.539,not synonym,sentence-transformers/all-mpnet-base-v2,0.7
Gomphoscopa catoryctopsis,Pachycera catoryctopsis,0.5307,not synonym,sentence-transformers/all-mpnet-base-v2,0.7
Thymiatris allocrossa,Lichenaula allocrossa,0.5517,not synonym,sentence-transformers/all-mpnet-base-v2,0.7
Thymiatris cephalochra,Xylorycta cephalochra,0.5807,not synonym,sentence-transformers/all-mpnet-base-v2,0.7
Leptobelistis isthmodes,Oegoconia isthmodes,0.4958,not synonym,sentence-transformers/all-mpnet-base-v2,0.7
Plectophila acrochroa,Xylorycta acrochroa,0.582,not synonym,sentence-transformers/all-mpnet-base-v2,0.7
