species,oldSpeciesCanonicalName,similarity,prediction,model,threshold
Archaeophylax worthyi,Waitomophylax worthyi,0.892,synonym,intfloat/e5-base-v2,0.7
Mycterus curculioides,Mycterus curculionides,0.9893,synonym,intfloat/e5-base-v2,0.7
Mycterus curculioides,Mycterus curculionoides,0.9907,synonym,intfloat/e5-base-v2,0.7
Mycterus quadricollis,Mycterus depressus,0.8905,synonym,intfloat/e5-base-v2,0.7
Megatoma atypica,Cretomegatoma atypica,0.8958,synonym,intfloat/e5-base-v2,0.7
Trogoderma glabrum,Anthrenus niger,0.7773,synonym,intfloat/e5-base-v2,0.7
Trogoderma glabrum,Trogoderma fuscicornis,0.9108,synonym,intfloat/e5-base-v2,0.7
Trogoderma glabrum,Trogoderma niger,0.9136,synonym,intfloat/e5-base-v2,0.7
Trogoderma glabrum,Trogoderma nigrum,0.9295,synonym,intfloat/e5-base-v2,0.7
Trogoderma grassmani,Trogoderma grassmani,1.0,synonym,intfloat/e5-base-v2,0.7
Trogoderma megatomoides,Entomotrogus megatomoides,0.9046,synonym,intfloat/e5-base-v2,0.7
Ctesias serra,Tiresias serra,0.8995,synonym,intfloat/e5-base-v2,0.7
Sefrania bleusei,Fohrer bleusei,0.8641,synonym,intfloat/e5-base-v2,0.7
Phradonoma tricolor,Trogoderma tricolor,0.9076,synonym,intfloat/e5-base-v2,0.7
Labrocerus concolor,Labrocerus simplex,0.925,synonym,intfloat/e5-base-v2,0.7
Labrocerus depressus,Eocerus depressus,0.8913,synonym,intfloat/e5-base-v2,0.7
Labrocerus setosus,Labrocerus affinis,0.9226,synonym,intfloat/e5-base-v2,0.7
Labrocerus setosus,Labrocerus pallipes,0.925,synonym,intfloat/e5-base-v2,0.7
Labrocerus similaris,Argocerus similaris,0.9207,synonym,intfloat/e5-base-v2,0.7
Labrocerus similaris,Argocerus subguttatus,0.8399,synonym,intfloat/e5-base-v2,0.7
Labrocerus vestitus,Labrocerus flavicornis,0.9143,synonym,intfloat/e5-base-v2,0.7
Attagenus australis,Trinodes australis,0.8629,synonym,intfloat/e5-base-v2,0.7
Attagenus brunneus,Attagenus elongatulus,0.9188,synonym,intfloat/e5-base-v2,0.7
Attagenus brunneus,Attagenus elongatus,0.9182,synonym,intfloat/e5-base-v2,0.7
Attagenus brunneus,Attagenus marginicollis,0.9105,synonym,intfloat/e5-base-v2,0.7
Attagenus fasciatus,Attagenus anulifer,0.928,synonym,intfloat/e5-base-v2,0.7
Attagenus fasciatus,Attagenus gloriosae,0.9107,synonym,intfloat/e5-base-v2,0.7
Attagenus fasciatus,Attagenus gloriosus,0.9215,synonym,intfloat/e5-base-v2,0.7
