species,oldSpeciesCanonicalName,similarity,prediction,model,threshold
Xylorycta castanea,Lichenaula castanea,0.8869,synonym,intfloat/e5-base-v2,0.7
Xylorycta luteotactella,Cryptolechia cognatella,0.8339,synonym,intfloat/e5-base-v2,0.7
Xylorycta luteotactella,Cryptolechia luteotactella,0.9016,synonym,intfloat/e5-base-v2,0.7
Xylorycta nivella,Cryptolechia nivella,0.9073,synonym,intfloat/e5-base-v2,0.7
Xylorycta stereodesma,Xylorycta prospicua,0.9085,synonym,intfloat/e5-base-v2,0.7
Xylorycta polysticha,Lichenaula polysticha,0.8885,synonym,intfloat/e5-base-v2,0.7
Xylorycta heliomacula,Telecrates heliomacula,0.8969,synonym,intfloat/e5-base-v2,0.7
Xylorycta assimilis,Xylorycta terenopis,0.8901,synonym,intfloat/e5-base-v2,0.7
Xylorycta haplochroa,Lichenaula haplochroa,0.9082,synonym,intfloat/e5-base-v2,0.7
Xylorycta haplochroa,Lichenaula umbrosa,0.8147,synonym,intfloat/e5-base-v2,0.7
Xylorycta cygnella,Cryptolechia cygnella,0.9057,synonym,intfloat/e5-base-v2,0.7
Xylorycta calligramma,Telecrates calligramma,0.902,synonym,intfloat/e5-base-v2,0.7
Xylorycta streptogramma,Telecrates streptogramma,0.9019,synonym,intfloat/e5-base-v2,0.7
Xylorycta ovata,Antaeotricha ovata,0.8746,synonym,intfloat/e5-base-v2,0.7
Xylorycta candescens,Lichenaula dissimilis,0.8094,synonym,intfloat/e5-base-v2,0.7
Xylorycta strigata,Cryptophasa strigata,0.8821,synonym,intfloat/e5-base-v2,0.7
Xylorycta apheles,Neodrepta apheles,0.8912,synonym,intfloat/e5-base-v2,0.7
Xylorycta apheles,Xylorycta lychnobii,0.8941,synonym,intfloat/e5-base-v2,0.7
Xylorycta argentella,Cryptolechia argentella,0.9024,synonym,intfloat/e5-base-v2,0.7
Synchalara rhombota,Agriophara rhombota,0.8789,synonym,intfloat/e5-base-v2,0.7
Paralecta tinctoria,Xylorycta tinctoria,0.8972,synonym,intfloat/e5-base-v2,0.7
Sphalerostola epierana,Exapateter epierana,0.8651,synonym,intfloat/e5-base-v2,0.7
Metathrinca ancistrias,Ptochoryctis ancistrias,0.8938,synonym,intfloat/e5-base-v2,0.7
Metathrinca ceromorpha,Ptochoryctis ceromorpha,0.8935,synonym,intfloat/e5-base-v2,0.7
Metathrinca illuvialis,Ptochoryctis illuvialis,0.8933,synonym,intfloat/e5-base-v2,0.7
Metathrinca intacta,Ptochoryctis intacta,0.8985,synonym,intfloat/e5-base-v2,0.7
Metathrinca loranthivora,Ptochoryctis loranthivora,0.9033,synonym,intfloat/e5-base-v2,0.7
Metathrinca parabola,Ptochoryctis parabola,0.8998,synonym,intfloat/e5-base-v2,0.7
Metathrinca rosaria,Ptochoryctis rosaria,0.889,synonym,intfloat/e5-base-v2,0.7
Metathrinca tsugensis,Ptochoryctis tsugensis,0.8988,synonym,intfloat/e5-base-v2,0.7
Liparistis monosema,Lichenaula monosema,0.8999,synonym,intfloat/e5-base-v2,0.7
Athrypsiastis candidella,Topiris candidella,0.8564,synonym,intfloat/e5-base-v2,0.7
Bida radiosella,Bida crambella,0.9023,synonym,intfloat/e5-base-v2,0.7
Bida radiosella,Psecadia radiosella,0.8914,synonym,intfloat/e5-base-v2,0.7
Perixestis rhizophaga,Xylorycta rhizophaga,0.8925,synonym,intfloat/e5-base-v2,0.7
Phthonerodes scotarcha,Psilosceles dichochroa,0.8304,synonym,intfloat/e5-base-v2,0.7
Iulactis insignis,Dectobathra insignis,0.8516,synonym,intfloat/e5-base-v2,0.7
Xylodryadella cryeranthes,Xylodryas cryeranthes,0.9636,synonym,intfloat/e5-base-v2,0.7
Neospastis encryphias,Agriophara encryphias,0.8643,synonym,intfloat/e5-base-v2,0.7
Neospastis ichnaea,Stenoma ichnaea,0.8528,synonym,intfloat/e5-base-v2,0.7
Philarista porphyrinella,Brunia intersecta,0.7709,synonym,intfloat/e5-base-v2,0.7
Philarista porphyrinella,Cryptolechia porphyrinella,0.8655,synonym,intfloat/e5-base-v2,0.7
Cyanocrates grandis,Cyanocrates signata,0.9303,synonym,intfloat/e5-base-v2,0.7
Cyanocrates grandis,Ommatothelxis grandis,0.8682,synonym,intfloat/e5-base-v2,0.7
Lichenaula afflictella,Cryptolechia afflictella,0.8917,synonym,intfloat/e5-base-v2,0.7
Lichenaula lichenea,Lichenaula lichenaea,0.9674,synonym,intfloat/e5-base-v2,0.7
Lichenaula cryptoleuca,Phthonerodes cryptoleuca,0.8737,synonym,intfloat/e5-base-v2,0.7
Lichenaula laniata,Lichenaula sternoides,0.9063,synonym,intfloat/e5-base-v2,0.7
Lichenaula comparella,Lichenaula callisema,0.9219,synonym,intfloat/e5-base-v2,0.7
Lichenaula comparella,Oecophora comparella,0.9029,synonym,intfloat/e5-base-v2,0.7
Lichenaula anthracopsara,Phthonerodes anthracopsara,0.8724,synonym,intfloat/e5-base-v2,0.7
Lichenaula phloeochroa,Lichenaula provisa,0.9085,synonym,intfloat/e5-base-v2,0.7
Lichenaula maculosa,Polynesa maculosa,0.853,synonym,intfloat/e5-base-v2,0.7
Heterochyta aprepta,Heterochyta abrepta,0.9244,synonym,intfloat/e5-base-v2,0.7
Heterochyta aprepta,Macrobela aprepta,0.8838,synonym,intfloat/e5-base-v2,0.7
Heterochyta infesta,Heterobathra infesta,0.9531,synonym,intfloat/e5-base-v2,0.7
Catoryctis leucomerata,Phthonerodes leucomerata,0.8632,synonym,intfloat/e5-base-v2,0.7
Catoryctis sciastis,Xylorycta sciastis,0.9299,synonym,intfloat/e5-base-v2,0.7
Catoryctis subnexella,Oecophora subnexella,0.8971,synonym,intfloat/e5-base-v2,0.7
Catoryctis subparallela,Oecophora fissulella,0.7896,synonym,intfloat/e5-base-v2,0.7
Catoryctis subparallela,Oecophora nexella,0.7898,synonym,intfloat/e5-base-v2,0.7
Catoryctis subparallela,Oecophora subparallela,0.8919,synonym,intfloat/e5-base-v2,0.7
Brachybelistis blackburnii,Cryptophaga blackburnii,0.8887,synonym,intfloat/e5-base-v2,0.7
Brachybelistis pentachroa,Xylorycta pentachroa,0.894,synonym,intfloat/e5-base-v2,0.7
Telecrates desmochrysa,Telecrates nigricansella,0.9097,synonym,intfloat/e5-base-v2,0.7
Telecrates laetiorella,Oecophora laetiorella,0.9142,synonym,intfloat/e5-base-v2,0.7
Telecrates melanochrysa,Xylorycta melanochrysa,0.8996,synonym,intfloat/e5-base-v2,0.7
Gomphoscopa catoryctopsis,Pachycera catoryctopsis,0.8884,synonym,intfloat/e5-base-v2,0.7
Thymiatris allocrossa,Lichenaula allocrossa,0.8655,synonym,intfloat/e5-base-v2,0.7
Thymiatris cephalochra,Xylorycta cephalochra,0.8726,synonym,intfloat/e5-base-v2,0.7
Leptobelistis isthmodes,Oegoconia isthmodes,0.8662,synonym,intfloat/e5-base-v2,0.7
Plectophila acrochroa,Xylorycta acrochroa,0.8927,synonym,intfloat/e5-base-v2,0.7
Plectophila discalis,Acontia discalis,0.8778,synonym,intfloat/e5-base-v2,0.7
Plectophila discalis,Lichenaula inscripta,0.8195,synonym,intfloat/e5-base-v2,0.7
Plectophila discalis,Lichenaula ombralota,0.8096,synonym,intfloat/e5-base-v2,0.7
Plectophila discalis,Lichenaula oxygona,0.8028,synonym,intfloat/e5-base-v2,0.7
Plectophila electella,Oecophora electella,0.9297,synonym,intfloat/e5-base-v2,0.7
Plectophila eucrines,Lichenaula eucrines,0.9037,synonym,intfloat/e5-base-v2,0.7
Plectophila micradelpha,Lichenaula micradelpha,0.8899,synonym,intfloat/e5-base-v2,0.7
Plectophila pyrgodes,Plectophila ascripta,0.8953,synonym,intfloat/e5-base-v2,0.7
Plectophila thiophanes,Xylorycta thiophanes,0.8847,synonym,intfloat/e5-base-v2,0.7
Potniarcha hierastis,Cryptophaga hierastis,0.8993,synonym,intfloat/e5-base-v2,0.7
Zaphanaula hemileuca,Antiopala moderata,0.7758,synonym,intfloat/e5-base-v2,0.7
Zaphanaula hemileuca,Oecophora hemileuca,0.8716,synonym,intfloat/e5-base-v2,0.7
Zaphanaula hemileuca,Peltophora leucoplaca,0.8149,synonym,intfloat/e5-base-v2,0.7
Zaphanaula hemileuca,Zaphanaula diffusa,0.9176,synonym,intfloat/e5-base-v2,0.7
Zaphanaula hemileuca,Zaphanaula xenophila,0.9233,synonym,intfloat/e5-base-v2,0.7
Cophomantella aphanozona,Cophomantis aphanozona,0.9673,synonym,intfloat/e5-base-v2,0.7
Cophomantella artonoma,Cophomantis artonoma,0.963,synonym,intfloat/e5-base-v2,0.7
Cophomantella bifrenata,Onebala bifrenata,0.8595,synonym,intfloat/e5-base-v2,0.7
Cophomantella bythota,Onebala bythota,0.8481,synonym,intfloat/e5-base-v2,0.7
Cophomantella crypsizyga,Onebala crypsizyga,0.8518,synonym,intfloat/e5-base-v2,0.7
Cophomantella cubiculata,Onebala cubiculata,0.8658,synonym,intfloat/e5-base-v2,0.7
Cophomantella cyclopodes,Onebala cyclopodes,0.8676,synonym,intfloat/e5-base-v2,0.7
Cophomantella elaphopis,Onebala elaphopis,0.8533,synonym,intfloat/e5-base-v2,0.7
Cophomantella ephanozona,Cophomantis ephanozona,0.9703,synonym,intfloat/e5-base-v2,0.7
Cophomantella eremota,Onebala eremota,0.862,synonym,intfloat/e5-base-v2,0.7
Cophomantella furnaria,Lecithocera furnaria,0.8784,synonym,intfloat/e5-base-v2,0.7
Cophomantella homogramma,Onebala homogramma,0.8568,synonym,intfloat/e5-base-v2,0.7
Cophomantella lychnocentra,Styloceros lychnocentra,0.8749,synonym,intfloat/e5-base-v2,0.7
Cophomantella myadelpha,Onebala myadelpha,0.835,synonym,intfloat/e5-base-v2,0.7
Cophomantella osphrantica,Cophomantis osphrantica,0.9679,synonym,intfloat/e5-base-v2,0.7
Cophomantella pumicata,Cophomantis pumicata,0.9718,synonym,intfloat/e5-base-v2,0.7
Cophomantella syngonarcha,Cophomantis syngonarcha,0.9648,synonym,intfloat/e5-base-v2,0.7
Hylypnes isosticha,Odites isosticha,0.8694,synonym,intfloat/e5-base-v2,0.7
Hylypnes leptosticta,Cryptolechia leptosticta,0.8727,synonym,intfloat/e5-base-v2,0.7
Hylypnes pudica,Odites pudica,0.8684,synonym,intfloat/e5-base-v2,0.7
Eupetochira xystopala,Nephantis xystopala,0.866,synonym,intfloat/e5-base-v2,0.7
Xylomimetes trachyptera,Pilostibes trachyptera,0.889,synonym,intfloat/e5-base-v2,0.7
Arignota stercorata,Xylorycta stercorata,0.8801,synonym,intfloat/e5-base-v2,0.7
Zauclophora metaphaeella,Safra metaphaeella,0.8638,synonym,intfloat/e5-base-v2,0.7
Zauclophora muscerdella,Cryptolechia muscerdella,0.8729,synonym,intfloat/e5-base-v2,0.7
Zauclophora pelodes,Xylorycta cirrhodes,0.8241,synonym,intfloat/e5-base-v2,0.7
Zauclophora procellosa,Clerarcha procellosa,0.8684,synonym,intfloat/e5-base-v2,0.7
Scieropepla orthosema,Procometis orthosema,0.8842,synonym,intfloat/e5-base-v2,0.7
Scieropepla reversella,Cryptolechia abrosella,0.8157,synonym,intfloat/e5-base-v2,0.7
Scieropepla reversella,Cryptolechia reversella,0.889,synonym,intfloat/e5-base-v2,0.7
Scieropepla serica,Tanyzancla serica,0.8791,synonym,intfloat/e5-base-v2,0.7
Scieropepla serina,Procometis trispora,0.7911,synonym,intfloat/e5-base-v2,0.7
Scieropepla typhicola,Scieropepla typicola,0.9734,synonym,intfloat/e5-base-v2,0.7
Pilostibes basivitta,Marisba basivitta,0.8881,synonym,intfloat/e5-base-v2,0.7
Pilostibes basivitta,Pilostibes enchidias,0.912,synonym,intfloat/e5-base-v2,0.7
Thysiarcha ecclesiastis,Cryptophasa ecclesiastis,0.9108,synonym,intfloat/e5-base-v2,0.7
Paralypusa chinensis,Pseudatemelia chinensis,0.879,synonym,intfloat/e5-base-v2,0.7
Diurnea fagella,Chimabacche fagella,0.8865,synonym,intfloat/e5-base-v2,0.7
Diurnea fagella,Chimabacche nolckenella,0.799,synonym,intfloat/e5-base-v2,0.7
Diurnea fagella,Diurnea dormoyella,0.9098,synonym,intfloat/e5-base-v2,0.7
Diurnea fagella,Diurnea nolckenella,0.9103,synonym,intfloat/e5-base-v2,0.7
Diurnea fagella,Tinea fagella,0.8982,synonym,intfloat/e5-base-v2,0.7
Diurnea fumida,Dasystoma fumida,0.896,synonym,intfloat/e5-base-v2,0.7
Diurnea fumida,Sciaphila fumida,0.8793,synonym,intfloat/e5-base-v2,0.7
Diurnea lipsiella,Chimabacche phryganella,0.7835,synonym,intfloat/e5-base-v2,0.7
Diurnea lipsiella,Diurnea lipsiella,1.0,synonym,intfloat/e5-base-v2,0.7
Diurnea lipsiella,Diurnea novembris,0.8787,synonym,intfloat/e5-base-v2,0.7
Diurnea lipsiella,Diurnea phryganella,0.9112,synonym,intfloat/e5-base-v2,0.7
Diurnea lipsiella,Lemmatophila phryganella,0.8033,synonym,intfloat/e5-base-v2,0.7
Dasystoma kurentzovi,Cheimophila kurentzovi,0.8888,synonym,intfloat/e5-base-v2,0.7
Dasystoma salicella,Cheimophila salicella,0.8926,synonym,intfloat/e5-base-v2,0.7
Dasystoma salicella,Hercyna rufocrinitalis,0.7978,synonym,intfloat/e5-base-v2,0.7
Dasystoma salicella,Lemmatophila salicella,0.8805,synonym,intfloat/e5-base-v2,0.7
Agnoea aeneella,Borkhausenia aeneella,0.893,synonym,intfloat/e5-base-v2,0.7
Agnoea colurnella,Borkhausenia colurnella,0.8898,synonym,intfloat/e5-base-v2,0.7
Agnoea colurnella,Borkhausenia pulverosella,0.8222,synonym,intfloat/e5-base-v2,0.7
Agnoea colurnella,Pseudatemelia colurnella,0.8805,synonym,intfloat/e5-base-v2,0.7
Agnoea detrimentella,Borkhausenia detrimentella,0.8981,synonym,intfloat/e5-base-v2,0.7
Agnoea detrimentella,Pseudatemelia detrimentella,0.891,synonym,intfloat/e5-base-v2,0.7
Agnoea elsae,Borkhausenia elsae,0.8655,synonym,intfloat/e5-base-v2,0.7
Agnoea elsae,Pseudatemelia elsae,0.86,synonym,intfloat/e5-base-v2,0.7
Agnoea filiella,Borkhausenia filiella,0.8819,synonym,intfloat/e5-base-v2,0.7
Agnoea filiella,Pseudatemelia filiella,0.8768,synonym,intfloat/e5-base-v2,0.7
Agnoea flavifrontella,Borkhausenia flavifrontella,0.8943,synonym,intfloat/e5-base-v2,0.7
Agnoea flavifrontella,Pseudatemelia flavifrontella,0.8836,synonym,intfloat/e5-base-v2,0.7
Agnoea flavifrontella,Tubuliferola flavifrontella,0.8826,synonym,intfloat/e5-base-v2,0.7
Agnoea fuscifrontella,Agnoea evanescens,0.8928,synonym,intfloat/e5-base-v2,0.7
Agnoea fuscifrontella,Blastobasis evanescens,0.7896,synonym,intfloat/e5-base-v2,0.7
Agnoea fuscifrontella,Borkhausenia fuscifrontella,0.8862,synonym,intfloat/e5-base-v2,0.7
Agnoea fuscifrontella,Pseudatemelia fuscifrontella,0.8773,synonym,intfloat/e5-base-v2,0.7
Agnoea josephinae,Pseudatemelia josephinae,0.8727,synonym,intfloat/e5-base-v2,0.7
Agnoea langohri,Pseudatemelia langohri,0.8848,synonym,intfloat/e5-base-v2,0.7
Agnoea latipennella,Pseudatemelia latipennella,0.8964,synonym,intfloat/e5-base-v2,0.7
Agnoea lavandulae,Borkhausenia ardosiella,0.8104,synonym,intfloat/e5-base-v2,0.7
Agnoea lavandulae,Borkhausenia lavandulae,0.8881,synonym,intfloat/e5-base-v2,0.7
Agnoea lavandulae,Borkhausenia pulverisquamis,0.7963,synonym,intfloat/e5-base-v2,0.7
Agnoea lavandulae,Oecophora ardosiella,0.7983,synonym,intfloat/e5-base-v2,0.7
Agnoea lavandulae,Pseudatemelia lavandulae,0.8794,synonym,intfloat/e5-base-v2,0.7
Agnoea pallidella,Borkhausenia pallidella,0.8756,synonym,intfloat/e5-base-v2,0.7
Agnoea pallidella,Pseudatemelia pallidella,0.8794,synonym,intfloat/e5-base-v2,0.7
Agnoea semifuscata,Pseudatemelia semifuscata,0.8755,synonym,intfloat/e5-base-v2,0.7
Agnoea subgilvida,Pseudatemelia subgilvida,0.8754,synonym,intfloat/e5-base-v2,0.7
Agnoea subgilvida,Tubuliferola subgilvida,0.8726,synonym,intfloat/e5-base-v2,0.7
Agnoea subochreella,Agnoea panzerella,0.898,synonym,intfloat/e5-base-v2,0.7
Agnoea subochreella,Pseudatemelia panzerella,0.7781,synonym,intfloat/e5-base-v2,0.7
