species,oldSpeciesCanonicalName,similarity,prediction,model,threshold,pooling
Archaeophylax worthyi,Waitomophylax worthyi,0.9996,synonym,gpt2-medium,0.7,last_token
Mycterus curculioides,Mycterus curculionides,0.9997,synonym,gpt2-medium,0.7,last_token
Mycterus curculioides,Mycterus curculionoides,0.9998,synonym,gpt2-medium,0.7,last_token
Mycterus quadricollis,Mycterus depressus,0.9994,synonym,gpt2-medium,0.7,last_token
Megatoma atypica,Cretomegatoma atypica,0.9989,synonym,gpt2-medium,0.7,last_token
Trogoderma glabrum,Anthrenus niger,0.9953,synonym,gpt2-medium,0.7,last_token
Trogoderma glabrum,Trogoderma fuscicornis,0.9985,synonym,gpt2-medium,0.7,last_token
Trogoderma glabrum,Trogoderma niger,0.9959,synonym,gpt2-medium,0.7,last_token
Trogoderma glabrum,Trogoderma nigrum,0.9986,synonym,gpt2-medium,0.7,last_token
Trogoderma grassmani,Trogoderma grassmani,1.0,synonym,gpt2-medium,0.7,last_token
Trogoderma megatomoides,Entomotrogus megatomoides,0.9992,synonym,gpt2-medium,0.7,last_token
Ctesias serra,Tiresias serra,0.9995,synonym,gpt2-medium,0.7,last_token
Sefrania bleusei,Fohrer bleusei,0.991,synonym,gpt2-medium,0.7,last_token
Phradonoma tricolor,Trogoderma tricolor,0.9994,synonym,gpt2-medium,0.7,last_token
Labrocerus concolor,Labrocerus simplex,0.9979,synonym,gpt2-medium,0.7,last_token
Labrocerus depressus,Eocerus depressus,0.9997,synonym,gpt2-medium,0.7,last_token
Labrocerus setosus,Labrocerus affinis,0.9994,synonym,gpt2-medium,0.7,last_token
Labrocerus setosus,Labrocerus pallipes,0.9972,synonym,gpt2-medium,0.7,last_token
Labrocerus similaris,Argocerus similaris,0.9995,synonym,gpt2-medium,0.7,last_token
Labrocerus similaris,Argocerus subguttatus,0.999,synonym,gpt2-medium,0.7,last_token
Labrocerus vestitus,Labrocerus flavicornis,0.9978,synonym,gpt2-medium,0.7,last_token
Attagenus australis,Trinodes australis,0.9987,synonym,gpt2-medium,0.7,last_token
Attagenus brunneus,Attagenus elongatulus,0.999,synonym,gpt2-medium,0.7,last_token
Attagenus brunneus,Attagenus elongatus,0.9996,synonym,gpt2-medium,0.7,last_token
Attagenus brunneus,Attagenus marginicollis,0.9993,synonym,gpt2-medium,0.7,last_token
Attagenus fasciatus,Attagenus anulifer,0.991,synonym,gpt2-medium,0.7,last_token
Attagenus fasciatus,Attagenus gloriosae,0.9991,synonym,gpt2-medium,0.7,last_token
Attagenus fasciatus,Attagenus gloriosus,0.999,synonym,gpt2-medium,0.7,last_token
Attagenus quadrimaculatus,Attagenus 4-maculatus,0.9983,synonym,gpt2-medium,0.7,last_token
