species,oldSpeciesCanonicalName,similarity,prediction,model,threshold
Archaeophylax worthyi,Waitomophylax worthyi,0.9506,synonym,allenai/scibert_scivocab_cased,0.7
Mycterus curculioides,Mycterus curculionides,0.9702,synonym,allenai/scibert_scivocab_cased,0.7
Mycterus curculioides,Mycterus curculionoides,0.9465,synonym,allenai/scibert_scivocab_cased,0.7
Mycterus quadricollis,Mycterus depressus,0.8763,synonym,allenai/scibert_scivocab_cased,0.7
Megatoma atypica,Cretomegatoma atypica,0.8633,synonym,allenai/scibert_scivocab_cased,0.7
Trogoderma glabrum,Anthrenus niger,0.8024,synonym,allenai/scibert_scivocab_cased,0.7
Trogoderma glabrum,Trogoderma fuscicornis,0.9095,synonym,allenai/scibert_scivocab_cased,0.7
Trogoderma glabrum,Trogoderma niger,0.9322,synonym,allenai/scibert_scivocab_cased,0.7
Trogoderma glabrum,Trogoderma nigrum,0.9414,synonym,allenai/scibert_scivocab_cased,0.7
Trogoderma grassmani,Trogoderma grassmani,1.0,synonym,allenai/scibert_scivocab_cased,0.7
Trogoderma megatomoides,Entomotrogus megatomoides,0.9158,synonym,allenai/scibert_scivocab_cased,0.7
Ctesias serra,Tiresias serra,0.9277,synonym,allenai/scibert_scivocab_cased,0.7
Sefrania bleusei,Fohrer bleusei,0.7757,synonym,allenai/scibert_scivocab_cased,0.7
Phradonoma tricolor,Trogoderma tricolor,0.9232,synonym,allenai/scibert_scivocab_cased,0.7
Labrocerus concolor,Labrocerus simplex,0.8874,synonym,allenai/scibert_scivocab_cased,0.7
Labrocerus depressus,Eocerus depressus,0.8934,synonym,allenai/scibert_scivocab_cased,0.7
Labrocerus setosus,Labrocerus affinis,0.915,synonym,allenai/scibert_scivocab_cased,0.7
Labrocerus setosus,Labrocerus pallipes,0.8866,synonym,allenai/scibert_scivocab_cased,0.7
Labrocerus similaris,Argocerus similaris,0.9456,synonym,allenai/scibert_scivocab_cased,0.7
Labrocerus similaris,Argocerus subguttatus,0.7867,synonym,allenai/scibert_scivocab_cased,0.7
