species,oldSpeciesCanonicalName,similarity,prediction,model,threshold
Archaeophylax worthyi,Waitomophylax worthyi,0.8542,synonym,malteos/scincl,0.7
Mycterus curculioides,Mycterus curculionides,0.9844,synonym,malteos/scincl,0.7
Mycterus curculioides,Mycterus curculionoides,0.9584,synonym,malteos/scincl,0.7
Mycterus quadricollis,Mycterus depressus,0.8643,synonym,malteos/scincl,0.7
Megatoma atypica,Cretomegatoma atypica,0.9597,synonym,malteos/scincl,0.7
Trogoderma glabrum,Anthrenus niger,0.8033,synonym,malteos/scincl,0.7
Trogoderma glabrum,Trogoderma fuscicornis,0.8844,synonym,malteos/scincl,0.7
Trogoderma glabrum,Trogoderma niger,0.8305,synonym,malteos/scincl,0.7
Trogoderma glabrum,Trogoderma nigrum,0.8916,synonym,malteos/scincl,0.7
Trogoderma grassmani,Trogoderma grassmani,1.0,synonym,malteos/scincl,0.7
Trogoderma megatomoides,Entomotrogus megatomoides,0.7635,synonym,malteos/scincl,0.7
Ctesias serra,Tiresias serra,0.9623,synonym,malteos/scincl,0.7
Sefrania bleusei,Fohrer bleusei,0.912,synonym,malteos/scincl,0.7
Phradonoma tricolor,Trogoderma tricolor,0.8844,synonym,malteos/scincl,0.7
Labrocerus concolor,Labrocerus simplex,0.9188,synonym,malteos/scincl,0.7
Labrocerus depressus,Eocerus depressus,0.9011,synonym,malteos/scincl,0.7
Labrocerus setosus,Labrocerus affinis,0.9467,synonym,malteos/scincl,0.7
Labrocerus setosus,Labrocerus pallipes,0.943,synonym,malteos/scincl,0.7
Labrocerus similaris,Argocerus similaris,0.9247,synonym,malteos/scincl,0.7
Labrocerus similaris,Argocerus subguttatus,0.9118,synonym,malteos/scincl,0.7
Labrocerus vestitus,Labrocerus flavicornis,0.9161,synonym,malteos/scincl,0.7
Attagenus australis,Trinodes australis,0.9474,synonym,malteos/scincl,0.7
Attagenus brunneus,Attagenus elongatulus,0.8717,synonym,malteos/scincl,0.7
Attagenus brunneus,Attagenus elongatus,0.9196,synonym,malteos/scincl,0.7
Attagenus brunneus,Attagenus marginicollis,0.9326,synonym,malteos/scincl,0.7
Attagenus fasciatus,Attagenus anulifer,0.8999,synonym,malteos/scincl,0.7
Attagenus fasciatus,Attagenus gloriosae,0.9053,synonym,malteos/scincl,0.7
Attagenus fasciatus,Attagenus gloriosus,0.9112,synonym,malteos/scincl,0.7
Attagenus quadrimaculatus,Attagenus 4-maculatus,0.9459,synonym,malteos/scincl,0.7
Attagenus trifasciatus,Attagenus 3-fasciatus,0.9196,synonym,malteos/scincl,0.7
Attagenus undulatus,Aethriostoma undulata,0.8965,synonym,malteos/scincl,0.7
Attagenus unicolor,Attagenus megatoma,0.7759,synonym,malteos/scincl,0.7
Attagenus unicolor,Attagenus piceus,0.7964,synonym,malteos/scincl,0.7
Thaumaglossa anthrenoides,Pseudothaumaglossa anthrenoides,0.969,synonym,malteos/scincl,0.7
Orphinus fulvipes,Cryptorhopalum brevicorne,0.8194,synonym,malteos/scincl,0.7
Orphinus fulvipes,Orphinus brevicorne,0.9405,synonym,malteos/scincl,0.7
Orphinus fulvipes,Orphinus brevicornis,0.923,synonym,malteos/scincl,0.7
Orphinus fulvipes,Trogoderma fulvipes,0.9004,synonym,malteos/scincl,0.7
Thorictodes heydeni,Thaumaphrastus heydeni,0.8431,synonym,malteos/scincl,0.7
Thorictodes heydeni,Thorictodes karanisensis,0.8421,synonym,malteos/scincl,0.7
Megatoma alpina,Globicornis alpina,0.8794,synonym,malteos/scincl,0.7
Heterocerus crinitus,Augyles crinitus,0.8922,synonym,malteos/scincl,0.7
Heterocerus fenestratus,Heterocerus pulchellus,0.9663,synonym,malteos/scincl,0.7
Heterocerus flindersi,Heterocerus caledoniae,0.8669,synonym,malteos/scincl,0.7
Heterocerus maritimus,Augyles britannicus,0.7618,synonym,malteos/scincl,0.7
Heterocerus maritimus,Heterocerus basalis,0.8855,synonym,malteos/scincl,0.7
Heterocerus maritimus,Heterocerus britannicus,0.8981,synonym,malteos/scincl,0.7
Heterocerus maritimus,Heterocerus burchanensis,0.9093,synonym,malteos/scincl,0.7
Augyles aureolus,Heterocerus aureolus,0.8246,synonym,malteos/scincl,0.7
Pastillodes areolatus,Cybocephalus areolatus,0.8575,synonym,malteos/scincl,0.7
Cybocephalus binotatus,Cybocephalus aeneonittens,0.938,synonym,malteos/scincl,0.7
Cybocephalus membranaceus,Dissia membranaceus,0.8868,synonym,malteos/scincl,0.7
Cybocephalus politissimus,Cybocephalus flavicapitus,0.9157,synonym,malteos/scincl,0.7
Cybocephalus politissimus,Cybocephalus flavocapitis,0.9076,synonym,malteos/scincl,0.7
Cybocephalus amplus,Dissia ampla,0.7859,synonym,malteos/scincl,0.7
Cybocephalus sublucidus,Brachypterus sublucidus,0.9166,synonym,malteos/scincl,0.7
Pacicephalus gressitti,Cybocephalus gressitti,0.779,synonym,malteos/scincl,0.7
