species,oldSpeciesCanonicalName,similarity,prediction,model,threshold
Xylorycta castanea,Lichenaula castanea,0.8848,synonym,malteos/scincl,0.7
Xylorycta luteotactella,Cryptolechia cognatella,0.7571,synonym,malteos/scincl,0.7
Xylorycta luteotactella,Cryptolechia luteotactella,0.8981,synonym,malteos/scincl,0.7
Xylorycta nivella,Cryptolechia nivella,0.8315,synonym,malteos/scincl,0.7
Xylorycta stereodesma,Xylorycta prospicua,0.8472,synonym,malteos/scincl,0.7
Xylorycta polysticha,Lichenaula polysticha,0.902,synonym,malteos/scincl,0.7
Xylorycta heliomacula,Telecrates heliomacula,0.6539,not synonym,malteos/scincl,0.7
Xylorycta assimilis,Xylorycta terenopis,0.9194,synonym,malteos/scincl,0.7
Xylorycta haplochroa,Lichenaula haplochroa,0.8738,synonym,malteos/scincl,0.7
Xylorycta haplochroa,Lichenaula umbrosa,0.8249,synonym,malteos/scincl,0.7
Xylorycta cygnella,Cryptolechia cygnella,0.8485,synonym,malteos/scincl,0.7
Xylorycta calligramma,Telecrates calligramma,0.6819,not synonym,malteos/scincl,0.7
Xylorycta streptogramma,Telecrates streptogramma,0.6989,not synonym,malteos/scincl,0.7
Xylorycta ovata,Antaeotricha ovata,0.8595,synonym,malteos/scincl,0.7
Xylorycta candescens,Lichenaula dissimilis,0.8491,synonym,malteos/scincl,0.7
Xylorycta strigata,Cryptophasa strigata,0.8366,synonym,malteos/scincl,0.7
Xylorycta apheles,Neodrepta apheles,0.747,synonym,malteos/scincl,0.7
Xylorycta apheles,Xylorycta lychnobii,0.9532,synonym,malteos/scincl,0.7
Xylorycta argentella,Cryptolechia argentella,0.8086,synonym,malteos/scincl,0.7
Synchalara rhombota,Agriophara rhombota,0.9219,synonym,malteos/scincl,0.7
Paralecta tinctoria,Xylorycta tinctoria,0.82,synonym,malteos/scincl,0.7
Sphalerostola epierana,Exapateter epierana,0.8205,synonym,malteos/scincl,0.7
Metathrinca ancistrias,Ptochoryctis ancistrias,0.8145,synonym,malteos/scincl,0.7
Metathrinca ceromorpha,Ptochoryctis ceromorpha,0.9333,synonym,malteos/scincl,0.7
Metathrinca illuvialis,Ptochoryctis illuvialis,0.9041,synonym,malteos/scincl,0.7
Metathrinca intacta,Ptochoryctis intacta,0.8249,synonym,malteos/scincl,0.7
Metathrinca loranthivora,Ptochoryctis loranthivora,0.9564,synonym,malteos/scincl,0.7
Metathrinca parabola,Ptochoryctis parabola,0.8453,synonym,malteos/scincl,0.7
Metathrinca rosaria,Ptochoryctis rosaria,0.9246,synonym,malteos/scincl,0.7
Metathrinca tsugensis,Ptochoryctis tsugensis,0.9147,synonym,malteos/scincl,0.7
Liparistis monosema,Lichenaula monosema,0.802,synonym,malteos/scincl,0.7
Athrypsiastis candidella,Topiris candidella,0.9186,synonym,malteos/scincl,0.7
Bida radiosella,Bida crambella,0.8817,synonym,malteos/scincl,0.7
Bida radiosella,Psecadia radiosella,0.9068,synonym,malteos/scincl,0.7
Perixestis rhizophaga,Xylorycta rhizophaga,0.9533,synonym,malteos/scincl,0.7
Phthonerodes scotarcha,Psilosceles dichochroa,0.7519,synonym,malteos/scincl,0.7
Iulactis insignis,Dectobathra insignis,0.8231,synonym,malteos/scincl,0.7
Xylodryadella cryeranthes,Xylodryas cryeranthes,0.977,synonym,malteos/scincl,0.7
Neospastis encryphias,Agriophara encryphias,0.965,synonym,malteos/scincl,0.7
Neospastis ichnaea,Stenoma ichnaea,0.8829,synonym,malteos/scincl,0.7
Philarista porphyrinella,Brunia intersecta,0.8156,synonym,malteos/scincl,0.7
Philarista porphyrinella,Cryptolechia porphyrinella,0.9708,synonym,malteos/scincl,0.7
Cyanocrates grandis,Cyanocrates signata,0.902,synonym,malteos/scincl,0.7
Cyanocrates grandis,Ommatothelxis grandis,0.7812,synonym,malteos/scincl,0.7
Lichenaula afflictella,Cryptolechia afflictella,0.8848,synonym,malteos/scincl,0.7
Lichenaula lichenea,Lichenaula lichenaea,0.9764,synonym,malteos/scincl,0.7
Lichenaula cryptoleuca,Phthonerodes cryptoleuca,0.9085,synonym,malteos/scincl,0.7
Lichenaula laniata,Lichenaula sternoides,0.914,synonym,malteos/scincl,0.7
Lichenaula comparella,Lichenaula callisema,0.9685,synonym,malteos/scincl,0.7
Lichenaula comparella,Oecophora comparella,0.8996,synonym,malteos/scincl,0.7
Lichenaula anthracopsara,Phthonerodes anthracopsara,0.9187,synonym,malteos/scincl,0.7
Lichenaula phloeochroa,Lichenaula provisa,0.97,synonym,malteos/scincl,0.7
Lichenaula maculosa,Polynesa maculosa,0.8517,synonym,malteos/scincl,0.7
Heterochyta aprepta,Heterochyta abrepta,0.9701,synonym,malteos/scincl,0.7
Heterochyta aprepta,Macrobela aprepta,0.9536,synonym,malteos/scincl,0.7
Heterochyta infesta,Heterobathra infesta,0.97,synonym,malteos/scincl,0.7
Catoryctis leucomerata,Phthonerodes leucomerata,0.9331,synonym,malteos/scincl,0.7
Catoryctis sciastis,Xylorycta sciastis,0.8746,synonym,malteos/scincl,0.7
Catoryctis subnexella,Oecophora subnexella,0.9153,synonym,malteos/scincl,0.7
Catoryctis subparallela,Oecophora fissulella,0.8126,synonym,malteos/scincl,0.7
Catoryctis subparallela,Oecophora nexella,0.7916,synonym,malteos/scincl,0.7
Catoryctis subparallela,Oecophora subparallela,0.9107,synonym,malteos/scincl,0.7
Brachybelistis blackburnii,Cryptophaga blackburnii,0.8576,synonym,malteos/scincl,0.7
Brachybelistis pentachroa,Xylorycta pentachroa,0.831,synonym,malteos/scincl,0.7
Telecrates desmochrysa,Telecrates nigricansella,0.6902,not synonym,malteos/scincl,0.7
Telecrates laetiorella,Oecophora laetiorella,0.7882,synonym,malteos/scincl,0.7
Telecrates melanochrysa,Xylorycta melanochrysa,0.8821,synonym,malteos/scincl,0.7
Gomphoscopa catoryctopsis,Pachycera catoryctopsis,0.9135,synonym,malteos/scincl,0.7
Thymiatris allocrossa,Lichenaula allocrossa,0.865,synonym,malteos/scincl,0.7
Thymiatris cephalochra,Xylorycta cephalochra,0.853,synonym,malteos/scincl,0.7
Leptobelistis isthmodes,Oegoconia isthmodes,0.8596,synonym,malteos/scincl,0.7
Plectophila acrochroa,Xylorycta acrochroa,0.8586,synonym,malteos/scincl,0.7
Plectophila discalis,Acontia discalis,0.7682,synonym,malteos/scincl,0.7
Plectophila discalis,Lichenaula inscripta,0.8299,synonym,malteos/scincl,0.7
Plectophila discalis,Lichenaula ombralota,0.8216,synonym,malteos/scincl,0.7
Plectophila discalis,Lichenaula oxygona,0.8331,synonym,malteos/scincl,0.7
Plectophila electella,Oecophora electella,0.741,synonym,malteos/scincl,0.7
Plectophila eucrines,Lichenaula eucrines,0.8482,synonym,malteos/scincl,0.7
Plectophila micradelpha,Lichenaula micradelpha,0.8655,synonym,malteos/scincl,0.7
Plectophila pyrgodes,Plectophila ascripta,0.7745,synonym,malteos/scincl,0.7
Plectophila thiophanes,Xylorycta thiophanes,0.8822,synonym,malteos/scincl,0.7
Potniarcha hierastis,Cryptophaga hierastis,0.7884,synonym,malteos/scincl,0.7
Zaphanaula hemileuca,Antiopala moderata,0.8197,synonym,malteos/scincl,0.7
Zaphanaula hemileuca,Oecophora hemileuca,0.9036,synonym,malteos/scincl,0.7
Zaphanaula hemileuca,Peltophora leucoplaca,0.8875,synonym,malteos/scincl,0.7
Zaphanaula hemileuca,Zaphanaula diffusa,0.919,synonym,malteos/scincl,0.7
Zaphanaula hemileuca,Zaphanaula xenophila,0.8809,synonym,malteos/scincl,0.7
Cophomantella aphanozona,Cophomantis aphanozona,0.9765,synonym,malteos/scincl,0.7
Cophomantella artonoma,Cophomantis artonoma,0.9671,synonym,malteos/scincl,0.7
Cophomantella bifrenata,Onebala bifrenata,0.9288,synonym,malteos/scincl,0.7
Cophomantella bythota,Onebala bythota,0.8384,synonym,malteos/scincl,0.7
Cophomantella crypsizyga,Onebala crypsizyga,0.9454,synonym,malteos/scincl,0.7
Cophomantella cubiculata,Onebala cubiculata,0.8863,synonym,malteos/scincl,0.7
Cophomantella cyclopodes,Onebala cyclopodes,0.9365,synonym,malteos/scincl,0.7
Cophomantella elaphopis,Onebala elaphopis,0.9039,synonym,malteos/scincl,0.7
Cophomantella ephanozona,Cophomantis ephanozona,0.966,synonym,malteos/scincl,0.7
Cophomantella eremota,Onebala eremota,0.857,synonym,malteos/scincl,0.7
Cophomantella furnaria,Lecithocera furnaria,0.8681,synonym,malteos/scincl,0.7
Cophomantella homogramma,Onebala homogramma,0.9581,synonym,malteos/scincl,0.7
Cophomantella lychnocentra,Styloceros lychnocentra,0.913,synonym,malteos/scincl,0.7
Cophomantella myadelpha,Onebala myadelpha,0.895,synonym,malteos/scincl,0.7
Cophomantella osphrantica,Cophomantis osphrantica,0.9531,synonym,malteos/scincl,0.7
Cophomantella pumicata,Cophomantis pumicata,0.9696,synonym,malteos/scincl,0.7
Cophomantella syngonarcha,Cophomantis syngonarcha,0.9101,synonym,malteos/scincl,0.7
Hylypnes isosticha,Odites isosticha,0.8804,synonym,malteos/scincl,0.7
Hylypnes leptosticta,Cryptolechia leptosticta,0.9314,synonym,malteos/scincl,0.7
Hylypnes pudica,Odites pudica,0.8535,synonym,malteos/scincl,0.7
Eupetochira xystopala,Nephantis xystopala,0.8716,synonym,malteos/scincl,0.7
Xylomimetes trachyptera,Pilostibes trachyptera,0.8973,synonym,malteos/scincl,0.7
Arignota stercorata,Xylorycta stercorata,0.8842,synonym,malteos/scincl,0.7
Zauclophora metaphaeella,Safra metaphaeella,0.9042,synonym,malteos/scincl,0.7
Zauclophora muscerdella,Cryptolechia muscerdella,0.9221,synonym,malteos/scincl,0.7
Zauclophora pelodes,Xylorycta cirrhodes,0.8871,synonym,malteos/scincl,0.7
Zauclophora procellosa,Clerarcha procellosa,0.8382,synonym,malteos/scincl,0.7
Scieropepla orthosema,Procometis orthosema,0.8671,synonym,malteos/scincl,0.7
Scieropepla reversella,Cryptolechia abrosella,0.771,synonym,malteos/scincl,0.7
Scieropepla reversella,Cryptolechia reversella,0.7981,synonym,malteos/scincl,0.7
Scieropepla serica,Tanyzancla serica,0.8683,synonym,malteos/scincl,0.7
Scieropepla serina,Procometis trispora,0.7722,synonym,malteos/scincl,0.7
Scieropepla typhicola,Scieropepla typicola,0.9061,synonym,malteos/scincl,0.7
Pilostibes basivitta,Marisba basivitta,0.8311,synonym,malteos/scincl,0.7
Pilostibes basivitta,Pilostibes enchidias,0.9402,synonym,malteos/scincl,0.7
Thysiarcha ecclesiastis,Cryptophasa ecclesiastis,0.8514,synonym,malteos/scincl,0.7
Paralypusa chinensis,Pseudatemelia chinensis,0.9315,synonym,malteos/scincl,0.7
Diurnea fagella,Chimabacche fagella,0.927,synonym,malteos/scincl,0.7
Diurnea fagella,Chimabacche nolckenella,0.8584,synonym,malteos/scincl,0.7
Diurnea fagella,Diurnea dormoyella,0.906,synonym,malteos/scincl,0.7
Diurnea fagella,Diurnea nolckenella,0.9499,synonym,malteos/scincl,0.7
Diurnea fagella,Tinea fagella,0.9387,synonym,malteos/scincl,0.7
Diurnea fumida,Dasystoma fumida,0.9132,synonym,malteos/scincl,0.7
Diurnea fumida,Sciaphila fumida,0.9158,synonym,malteos/scincl,0.7
Diurnea lipsiella,Chimabacche phryganella,0.784,synonym,malteos/scincl,0.7
Diurnea lipsiella,Diurnea lipsiella,1.0,synonym,malteos/scincl,0.7
Diurnea lipsiella,Diurnea novembris,0.8071,synonym,malteos/scincl,0.7
Diurnea lipsiella,Diurnea phryganella,0.8832,synonym,malteos/scincl,0.7
Diurnea lipsiella,Lemmatophila phryganella,0.8023,synonym,malteos/scincl,0.7
Dasystoma kurentzovi,Cheimophila kurentzovi,0.8525,synonym,malteos/scincl,0.7
Dasystoma salicella,Cheimophila salicella,0.9197,synonym,malteos/scincl,0.7
Dasystoma salicella,Hercyna rufocrinitalis,0.8319,synonym,malteos/scincl,0.7
Dasystoma salicella,Lemmatophila salicella,0.8536,synonym,malteos/scincl,0.7
Agnoea aeneella,Borkhausenia aeneella,0.8882,synonym,malteos/scincl,0.7
Agnoea colurnella,Borkhausenia colurnella,0.8722,synonym,malteos/scincl,0.7
Agnoea colurnella,Borkhausenia pulverosella,0.8486,synonym,malteos/scincl,0.7
Agnoea colurnella,Pseudatemelia colurnella,0.8417,synonym,malteos/scincl,0.7
Agnoea detrimentella,Borkhausenia detrimentella,0.8795,synonym,malteos/scincl,0.7
Agnoea detrimentella,Pseudatemelia detrimentella,0.7952,synonym,malteos/scincl,0.7
Agnoea elsae,Borkhausenia elsae,0.881,synonym,malteos/scincl,0.7
Agnoea elsae,Pseudatemelia elsae,0.7851,synonym,malteos/scincl,0.7
Agnoea filiella,Borkhausenia filiella,0.892,synonym,malteos/scincl,0.7
Agnoea filiella,Pseudatemelia filiella,0.835,synonym,malteos/scincl,0.7
Agnoea flavifrontella,Borkhausenia flavifrontella,0.9205,synonym,malteos/scincl,0.7
Agnoea flavifrontella,Pseudatemelia flavifrontella,0.8955,synonym,malteos/scincl,0.7
Agnoea flavifrontella,Tubuliferola flavifrontella,0.8783,synonym,malteos/scincl,0.7
Agnoea fuscifrontella,Agnoea evanescens,0.8372,synonym,malteos/scincl,0.7
Agnoea fuscifrontella,Blastobasis evanescens,0.7788,synonym,malteos/scincl,0.7
Agnoea fuscifrontella,Borkhausenia fuscifrontella,0.853,synonym,malteos/scincl,0.7
Agnoea fuscifrontella,Pseudatemelia fuscifrontella,0.8257,synonym,malteos/scincl,0.7
Agnoea josephinae,Pseudatemelia josephinae,0.9474,synonym,malteos/scincl,0.7
Agnoea langohri,Pseudatemelia langohri,0.8533,synonym,malteos/scincl,0.7
Agnoea latipennella,Pseudatemelia latipennella,0.9186,synonym,malteos/scincl,0.7
Agnoea lavandulae,Borkhausenia ardosiella,0.7595,synonym,malteos/scincl,0.7
Agnoea lavandulae,Borkhausenia lavandulae,0.9457,synonym,malteos/scincl,0.7
Agnoea lavandulae,Borkhausenia pulverisquamis,0.8007,synonym,malteos/scincl,0.7
Agnoea lavandulae,Oecophora ardosiella,0.7626,synonym,malteos/scincl,0.7
Agnoea lavandulae,Pseudatemelia lavandulae,0.9112,synonym,malteos/scincl,0.7
Agnoea pallidella,Borkhausenia pallidella,0.9176,synonym,malteos/scincl,0.7
Agnoea pallidella,Pseudatemelia pallidella,0.9068,synonym,malteos/scincl,0.7
Agnoea semifuscata,Pseudatemelia semifuscata,0.8085,synonym,malteos/scincl,0.7
Agnoea subgilvida,Pseudatemelia subgilvida,0.79,synonym,malteos/scincl,0.7
Agnoea subgilvida,Tubuliferola subgilvida,0.7964,synonym,malteos/scincl,0.7
Agnoea subochreella,Agnoea panzerella,0.9462,synonym,malteos/scincl,0.7
Agnoea subochreella,Pseudatemelia panzerella,0.7391,synonym,malteos/scincl,0.7
Agnoea subochreella,Pseudatemelia subochreella,0.7947,synonym,malteos/scincl,0.7
Agnoea subochreella,Tubuliferola subochreella,0.7921,synonym,malteos/scincl,0.7
Agnoea synchrozella,Pseudatemelia synchrozella,0.8133,synonym,malteos/scincl,0.7
Agnoea xanthosoma,Pseudatemelia xanthosoma,0.9534,synonym,malteos/scincl,0.7
Atosia doenia,Parasa doenia,0.8547,synonym,malteos/scincl,0.7
Eukarschia mitis,Gephyrophora mitis,0.8915,synonym,malteos/scincl,0.7
Euphlyctina phaeopasta,Araeogyia phaeopasta,0.8275,synonym,malteos/scincl,0.7
Lithacodes fasciola,Limacodes fasciola,0.9375,synonym,malteos/scincl,0.7
Lithacodes fasciola,Lithacodes belfragei,0.8983,synonym,malteos/scincl,0.7
Lithacodes fasciola,Lithacodes divergens,0.9245,synonym,malteos/scincl,0.7
Lithacodes fasciola,Lithacodes laticlavia,0.818,synonym,malteos/scincl,0.7
Lithacodes fiskeana,Tortricidia fiskeana,0.8556,synonym,malteos/scincl,0.7
Parapluda incincta,Apluda incincta,0.8901,synonym,malteos/scincl,0.7
Parapluda incincta,Apluda schaliphlebia,0.8041,synonym,malteos/scincl,0.7
Parapluda incincta,Parapluda schaliphlebia,0.8418,synonym,malteos/scincl,0.7
Parapluda invitabilis,Apluda similis,0.9026,synonym,malteos/scincl,0.7
